<b, 1>
<defender, 1>
<splitting, 2>
<headache, 2>
<drink, 1>
<leaning, 1>
<chair, 4>
<refill, 1>
<stooped, 1>
<pick, 1>
<sorts, 2>
<crazy, 1>
<Tomorrow, 1>
<desperately, 1>
<laugh, 1>
<Wish, 1>
<muttered, 1>
<flirted, 1>
<giggled, 1>
<After, 1>
<supper, 1>
<undertook, 1>
<German, 1>
<blundered, 1>
<through, 1>
<upsetting, 1>
<romping, 1>
<scandalized, 1>
<meditated, 1>
<chance, 2>
<deliver, 1>
<already, 1>
<Silence, 1>
<la, 1>
<mort, 1>
<melodramatic, 1>
<flourish, 1>
<This, 2>
<byplay, 1>
<masquerade, 1>
<expected, 1>
<sick, 1>
<Saturday, 2>
<lap, 1>
<luxury, 1>
<company, 2>
<place, 1>
<restful, 1>
<hear, 2>
<dull, 1>
<quarters, 1>
<faces, 2>
<gayly, 1>
<weigh, 1>
<spirits, 1>
<thoughtfully, 1>
<worried, 1>
<clock, 2>
<nine, 1>
<proposed, 1>
<stool, 1>
<elbows, 1>
<knee, 1>
<bravely, 1>
<Shall, 1>
<discreetly, 1>
<prepared, 1>
<smiling, 1>
<powdered, 1>
<squeezed, 1>
<plate, 1>
<wasn, 1>
<quantities, 1>
<nonsense, 1>
<Is, 1>
<silently, 1>
<downcast, 1>
<blame, 1>
<follies, 1>
<drank, 1>
<romped, 1>
<flirt, 1>
<reproachfully, 1>
<soft, 1>
<rosy, 2>
<various, 1>
<bits, 1>
<tightly, 1>
<ideas, 2>
<rubbish, 1>
<indignantly, 1>
<pop, 1>
<spot, 1>
<embarrassing, 1>
<hearing, 1>
<wait, 2>
<settle, 1>
<ridiculous, 1>
<stuff, 1>
<idea, 1>
<marry, 2>
<shout, 1>
<mustn, 1>
<distressed, 1>
<repeat, 1>
<unwise, 1>
<among, 1>
<whom, 1>
<bred, 1>
<vulgar, 1>
<sorry, 2>
<mischief, 1>
<letting, 1>
<dissatisfied, 1>
<stay, 1>
<admired, 3>
<confession, 1>
<harmless, 1>
<liking, 1>
<lead, 2>
<unmaidenly, 2>
<Learn, 1>
<value, 1>
<praise, 1>
<worth, 1>
<excite, 1>
<excellent, 1>
<thinking, 1>
<interested, 1>
<perplexed, 1>
<blushing, 1>
<lovers, 1>
<during, 1>
<amazingly, 1>
<drifting, 1>
<follow, 1>
<bashfully, 1>
<mothers, 2>
<differ, 1>
<somewhat, 1>
<suspect, 1>
<serious, 2>
<subject, 1>
<fittest, 1>
<perhaps, 1>
<listen, 1>
<carry, 1>
<join, 1>
<solemn, 2>
<affair, 1>
<Holding, 1>
<watching, 1>
<wistfully, 1>
<accomplished, 1>
<respected, 1>
<youth, 1>
<wisely, 1>
<married, 2>
<sees, 1>
<chosen, 1>
<happen, 1>
<sincerely, 1>
<experience, 1>
<prepare, 1>
<duties, 1>
<worthy, 2>
<joy, 2>
<ambitious, 1>
<dash, 1>
<men, 2>
<houses, 1>
<homes, 2>
<Money, 1>
<needful, 1>
<noble, 1>
<prize, 1>
<strive, 1>
<wives, 2>
<beloved, 1>
<queens, 1>
<thrones, 1>
<maids, 3>
<stoutly, 1>
<Right, 1>
<Better, 1>
<running, 1>
<husbands, 1>
<troubled, 1>
<seldom, 1>
<daunts, 1>
<sincere, 1>
<Some, 1>
<honored, 1>
<women, 1>
<allowed, 1>
<Leave, 1>
<Make, 1>
<One, 2>
<confidant, 1>
<single, 1>
<hearts, 1>
<bade, 1>
<TEN, 1>
<THE, 2>
<P, 4>
<C, 3>
<AND, 1>
<O, 1>
<amusements, 1>
<became, 1>
<lengthening, 1>
<days, 2>
<afternoons, 1>
<garden, 2>
<order, 1>
<quarter, 1>
<plot, 1>
<liked, 1>
<gardings, 1>
<belonged, 1>
<ef, 1>
<em, 1>
<Chiny, 1>
<tastes, 1>
<differed, 1>
<characters, 1>
<heliotrope, 1>
<myrtle, 1>
<orange, 1>
<tree, 1>
<alike, 1>
<seasons, 1>
<experiments, 1>
<year, 2>
<plantation, 1>
<seeds, 1>
<cheerful, 1>
<aspiring, 1>
<plant, 1>
<feed, 1>
<Cockle, 1>
<family, 1>
<chicks, 1>
<peas, 1>
<mignonette, 1>
<larkspur, 1>
<pinks, 1>
<pansies, 1>
<southernwood, 1>
<chickweed, 1>
<birds, 1>
<catnip, 1>
<pussies, 1>
<bower, 1>
<earwiggy, 1>
<honeysuckle, 1>
<glories, 1>
<hanging, 1>
<horns, 1>
<bells, 1>
<graceful, 1>
<wreaths, 1>
<tall, 1>
<lilies, 1>
<delicate, 1>
<picturesque, 1>
<plants, 1>
<consent, 1>
<blossom, 1>
<Gardening, 1>
<walks, 1>
<rows, 1>
<flower, 1>
<hunts, 1>
<rainy, 1>
<diversions, 1>
<original, 2>
<secret, 1>
<societies, 1>
<Dickens, 1>
<Pickwick, 7>
<Club, 1>
<interruptions, 1>
<met, 1>
<garret, 1>
<occasions, 1>
<ceremonies, 1>
<follows, 1>
<Three, 1>
<chairs, 1>
<arranged, 2>
<row, 1>
<table, 2>
<lamp, 1>
<badges, 2>
<different, 1>
<colors, 1>
<weekly, 2>
<newspaper, 1>
<Portfolio, 1>
<contributed, 1>
<reveled, 1>
<pens, 1>
<ink, 1>
<editor, 1>
<At, 1>
<seven, 1>
<o, 1>
<members, 1>
<ascended, 1>
<clubroom, 1>
<heads, 1>
<seats, 1>
<solemnity, 1>
<eldest, 1>
<Samuel, 1>
<literary, 1>
<Augustus, 1>
<Snodgrass, 3>
<Tracy, 1>
<Tupman, 1>
<Nathaniel, 1>
<Winkle, 1>
<president, 1>
<read, 2>
<paper, 1>
<tales, 1>
<poetry, 1>
<local, 1>
<news, 1>
<advertisements, 1>
<hints, 1>
<naturedly, 1>
<faults, 1>
<short, 1>
<comings, 1>
<spectacles, 2>
<rapped, 1>
<hemmed, 1>
<tilting, 1>
<properly, 1>
<PICKWICK, 1>
<PORTFOLIO, 1>
<MAY, 1>
<POET, 1>
<S, 1>
<CORNER, 1>
<ANNIVERSARY, 1>
<ODE, 1>
<Again, 2>
<meet, 1>
<celebrate, 1>
<badge, 1>
<rite, 1>
<Our, 3>
<fifty, 1>
<anniversary, 1>
<In, 2>
<Hall, 1>
<health, 1>
<None, 1>
<band, 1>
<press, 1>
<post, 1>
<reverence, 1>
<greet, 1>
<nose, 1>
<reads, 1>
<sheet, 1>
<Although, 1>
<suffers, 1>
<fall, 1>
<croak, 1>
<squeak, 1>
<Old, 1>
<six, 1>
<foot, 1>
<looms, 1>
<elephantine, 1>
<grace, 1>
<beams, 1>
<brown, 1>
<jovial, 1>
<Poetic, 1>
<lights, 1>
<eye, 1>
<struggles, 1>
<gainst, 1>
<Behold, 1>
<ambition, 1>
<brow, 1>
