<al, 1>
<in, 1>
<the, 1>
<world, 1>
<should, 1>
<you, 1>
<spend, 1>
<your, 1>
<money, 1>
<worry, 1>
<your, 1>
<family, 1>
<and, 1>
<turn, 1>
<the, 1>
<house, 1>
<upside, 1>
<down, 1>
<for, 1>
<a, 1>
<parcel, 1>
<of, 1>
<girls, 1>
<who, 1>
<don, 1>
<t, 1>
<care, 1>
<a, 1>
<sixpence, 1>
<for, 1>
<you, 1>
<I, 1>
<thought, 1>
<you, 1>
<had, 1>
<too, 1>
<much, 1>
<pride, 1>
<and, 1>
<sense, 1>
<to, 1>
<truckle, 1>
<to, 1>
<any, 1>
<mortal, 1>
<woman, 1>
<just, 1>
<because, 1>
<she, 1>
<wears, 1>
<French, 1>
<boots, 1>
<and, 1>
<rides, 1>
<in, 1>
<a, 1>
<coupe, 1>
<said, 1>
<Jo, 1>
<who, 1>
<being, 1>
<called, 1>
<from, 1>
<the, 1>
<tragic, 1>
<climax, 1>
<of, 1>
<her, 1>
<novel, 1>
<was, 1>
<not, 1>
<in, 1>
<the, 1>
<best, 1>
<mood, 1>
<for, 1>
<social, 1>
<enterprises, 1>
<I, 1>
<don, 1>
<t, 1>
<truckle, 1>
<and, 1>
<I, 1>
<hate, 1>
<being, 1>
<patronized, 1>
<as, 1>
<much, 1>
<as, 1>
<you, 1>
<do, 1>
<returned, 1>
<Amy, 1>
<indignantly, 1>
<for, 1>
<the, 1>
<two, 1>
<still, 1>
<jangled, 1>
<when, 1>
<such, 1>
<questions, 1>
<arose, 1>
<The, 1>
<girls, 1>
<do, 1>
<care, 1>
<for, 1>
<me, 1>
<and, 1>
<I, 1>
<for, 1>
<them, 1>
<and, 1>
<there, 1>
<s, 1>
<a, 1>
<great, 1>
<deal, 1>
<of, 1>
<kindness, 1>
<and, 1>
<sense, 1>
<and, 1>
<talent, 1>
<among, 1>
<them, 1>
<in, 1>
<spite, 1>
<of, 1>
<what, 1>
<you, 1>
<call, 1>
<fashionable, 1>
<nonsense, 1>
<You, 1>
<don, 1>
<t, 1>
<care, 1>
<to, 1>
<make, 1>
<people, 1>
<like, 1>
<you, 1>
<to, 1>
<go, 1>
<into, 1>
<good, 1>
<society, 1>
<and, 1>
<cultivate, 1>
<your, 1>
<manners, 1>
<and, 1>
<tastes, 1>
<I, 1>
<do, 1>
<and, 1>
<I, 1>
<mean, 1>
<to, 1>
<make, 1>
<the, 1>
<most, 1>
<of, 1>
<every, 1>
<chance, 1>
<that, 1>
<comes, 1>
<You, 1>
<can, 1>
<go, 1>
<through, 1>
<the, 1>
<world, 1>
<with, 1>
<your, 1>
<elbows, 1>
<out, 1>
<and, 1>
<your, 1>
<nose, 1>
<in, 1>
<the, 1>
<air, 1>
<and, 1>
<call, 1>
<it, 1>
<independence, 1>
<if, 1>
<you, 1>
<like, 1>
<That, 1>
<s, 1>
<not, 1>
<my, 1>
<way, 1>
<When, 1>
<Amy, 1>
<had, 1>
<whetted, 1>
<her, 1>
<tongue, 1>
<and, 1>
<freed, 1>
<her, 1>
<mind, 1>
<she, 1>
<usually, 1>
<got, 1>
<the, 1>
<best, 1>
<of, 1>
<it, 1>
<for, 1>
<she, 1>
<seldom, 1>
<failed, 1>
<to, 1>
<have, 1>
<common, 1>
<sense, 1>
<on, 1>
<her, 1>
<side, 1>
<while, 1>
<Jo, 1>
<carried, 1>
<her, 1>
<love, 1>
<of, 1>
<liberty, 1>
<and, 1>
<hate, 1>
<of, 1>
<conventionalities, 1>
<to, 1>
<such, 1>
<an, 1>
<unlimited, 1>
<extent, 1>
<that, 1>
<she, 1>
<naturally, 1>
<found, 1>
<herself, 1>
<worsted, 1>
<in, 1>
<an, 1>
<argument, 1>
<Amy, 1>
<s, 1>
<definition, 1>
<of, 1>
<Jo, 1>
<s, 1>
<idea, 1>
<of, 1>
<independence, 1>
<was, 1>
<such, 1>
<a, 1>
<good, 1>
<hit, 1>
<that, 1>
<both, 1>
<burst, 1>
<out, 1>
<laughing, 1>
<and, 1>
<the, 1>
<discussion, 1>
<took, 1>
<a, 1>
<more, 1>
<amiable, 1>
<turn, 1>
<Much, 1>
<against, 1>
<her, 1>
<will, 1>
<Jo, 1>
<at, 1>
<length, 1>
<consented, 1>
<to, 1>
<sacrifice, 1>
<a, 1>
<day, 1>
<to, 1>
<Mrs, 1>
<Grundy, 1>
<and, 1>
<help, 1>
<her, 1>
<sister, 1>
<through, 1>
<what, 1>
<she, 1>
<regarded, 1>
<as, 1>
<a, 1>
<nonsensical, 1>
<business, 1>
<The, 1>
<invitations, 1>
<were, 1>
<sent, 1>
<nearly, 1>
<all, 1>
<accepted, 1>
<and, 1>
<the, 1>
<following, 1>
<Monday, 1>
<was, 1>
<set, 1>
<apart, 1>
<for, 1>
<the, 1>
<grand, 1>
<event, 1>
<Hannah, 1>
<was, 1>
<out, 1>
<of, 1>
<humor, 1>
<because, 1>
<her, 1>
<week, 1>
<s, 1>
<work, 1>
<was, 1>
<deranged, 1>
<and, 1>
<prophesied, 1>
<that, 1>
<ef, 1>
<the, 1>
<washin, 1>
<and, 1>
<ironin, 1>
<warn, 1>
<t, 1>
<done, 1>
<reg, 1>
<lar, 1>
<nothin, 1>
<would, 1>
<go, 1>
<well, 1>
<anywheres, 1>
<This, 1>
<hitch, 1>
<in, 1>
<the, 1>
<mainspring, 1>
<of, 1>
<the, 1>
<domestic, 1>
<machinery, 1>
<had, 1>
<a, 1>
<bad, 1>
<effect, 1>
<upon, 1>
<the, 1>
<whole, 1>
<concern, 1>
<but, 1>
<Amy, 1>
<s, 1>
<motto, 1>
<was, 1>
<Nil, 1>
<desperandum, 1>
<and, 1>
<having, 1>
<made, 1>
<up, 1>
<her, 1>
<mind, 1>
<what, 1>
<to, 1>
<do, 1>
<she, 1>
<proceeded, 1>
<to, 1>
<do, 1>
<it, 1>
<in, 1>
<spite, 1>
<of, 1>
<all, 1>
<obstacles, 1>
<To, 1>
<begin, 1>
<with, 1>
<Hannah, 1>
<s, 1>
<cooking, 1>
<didn, 1>
<t, 1>
<turn, 1>
<out, 1>
<well, 1>
<The, 1>
<chicken, 1>
<was, 1>
<tough, 1>
<the, 1>
<tongue, 1>
<too, 1>
<salty, 1>
<and, 1>
<the, 1>
<chocolate, 1>
<wouldn, 1>
<t, 1>
<froth, 1>
<properly, 1>
<Then, 1>
<the, 1>
<cake, 1>
<and, 1>
<ice, 1>
<cost, 1>
<more, 1>
<than, 1>
<Amy, 1>
<expected, 1>
<so, 1>
<did, 1>
<the, 1>
<wagon, 1>
<and, 1>
<various, 1>
<other, 1>
<expenses, 1>
<which, 1>
<seemed, 1>
<trifling, 1>
<at, 1>
<the, 1>
<outset, 1>
<counted, 1>
<up, 1>
<rather, 1>
<alarmingly, 1>
<afterward, 1>
<Beth, 1>
<got, 1>
<a, 1>
<cold, 1>
<and, 1>
<took, 1>
<to, 1>
<her, 1>
<bed, 1>
<Meg, 1>
<had, 1>
<an, 1>
<unusual, 1>
<number, 1>
<of, 1>
<callers, 1>
<to, 1>
<keep, 1>
<her, 1>
<at, 1>
<home, 1>
<and, 1>
<Jo, 1>
<was, 1>
<in, 1>
<such, 1>
<a, 1>
<divided, 1>
<state, 1>
<of, 1>
<mind, 1>
<that, 1>
<her, 1>
<breakages, 1>
<accidents, 1>
<and, 1>
<mistakes, 1>
<were, 1>
<uncommonly, 1>
<numerous, 1>
<serious, 1>
<and, 1>
<trying, 1>
<If, 1>
<it, 1>
<was, 1>
<not, 1>
<fair, 1>
<on, 1>
<Monday, 1>
<the, 1>
<young, 1>
<ladies, 1>
<were, 1>
<to, 1>
<come, 1>
<on, 1>
<Tuesday, 1>
<an, 1>
<arrangement, 1>
<which, 1>
<aggravated, 1>
<Jo, 1>
<and, 1>
<Hannah, 1>
<to, 1>
<the, 1>
<last, 1>
<degree, 1>
<On, 1>
<Monday, 1>
<morning, 1>
<the, 1>
<weather, 1>
<was, 1>
<in, 1>
<that, 1>
<undecided, 1>
<state, 1>
<which, 1>
<is, 1>
<more, 1>
<exasperating, 1>
<than, 1>
<a, 1>
<steady, 1>
<pour, 1>
<It, 1>
<drizzled, 1>
<a, 1>
<little, 1>
<shone, 1>
<a, 1>
<little, 1>
<blew, 1>
<a, 1>
<little, 1>
<and, 1>
<didn, 1>
<t, 1>
<make, 1>
<up, 1>
<its, 1>
<mind, 1>
<till, 1>
<it, 1>
<was, 1>
<too, 1>
<late, 1>
<for, 1>
<anyone, 1>
<else, 1>
<to, 1>
<make, 1>
<up, 1>
<theirs, 1>
<Amy, 1>
<was, 1>
<up, 1>
<at, 1>
<dawn, 1>
<hustling, 1>
<people, 1>
<out, 1>
<of, 1>
<their, 1>
<beds, 1>
<and, 1>
<through, 1>
<their, 1>
<breakfasts, 1>
<that, 1>
<the, 1>
<house, 1>
<might, 1>
<be, 1>
<got, 1>
<in, 1>
<order, 1>
<The, 1>
<parlor, 1>
<struck, 1>
<her, 1>
<as, 1>
<looking, 1>
<uncommonly, 1>
<shabby, 1>
<but, 1>
<without, 1>
<stopping, 1>
<to, 1>
<sigh, 1>
<for, 1>
<what, 1>
<she, 1>
<had, 1>
<not, 1>
<she, 1>
<skillfully, 1>
<made, 1>
<the, 1>
<best, 1>
<of, 1>
<what, 1>
<she, 1>
<had, 1>
<arranging, 1>
<chairs, 1>
<over, 1>
<the, 1>
<worn, 1>
<places, 1>
<in, 1>
<the, 1>
<carpet, 1>
<covering, 1>
<stains, 1>
<on, 1>
<the, 1>
<walls, 1>
<with, 1>
<homemade, 1>
<statuary, 1>
<which, 1>
<gave, 1>
<an, 1>
<artistic, 1>
<air, 1>
<to, 1>
<the, 1>
<room, 1>
<as, 1>
<did, 1>
<the, 1>
<lovely, 1>
<vases, 1>
<of, 1>
<flowers, 1>
<Jo, 1>
<scattered, 1>
<about, 1>
<The, 1>
<lunch, 1>
<looked, 1>
<charming, 1>
<and, 1>
<as, 1>
<she, 1>
<surveyed, 1>
<it, 1>
<she, 1>
<sincerely, 1>
<hoped, 1>
<it, 1>
<would, 1>
<taste, 1>
<well, 1>
<and, 1>
<that, 1>
<the, 1>
<borrowed, 1>
<glass, 1>
<china, 1>
<and, 1>
<silver, 1>
<would, 1>
<get, 1>
<safely, 1>
<home, 1>
<again, 1>
<The, 1>
<carriages, 1>
<were, 1>
<promised, 1>
<Meg, 1>
<and, 1>
<Mother, 1>
<were, 1>
<all, 1>
<ready, 1>
<to, 1>
<do, 1>
<the, 1>
<honors, 1>
<Beth, 1>
<was, 1>
<able, 1>
<to, 1>
<help, 1>
<Hannah, 1>
<behind, 1>
<the, 1>
<scenes, 1>
<Jo, 1>
<had, 1>
<engaged, 1>
<to, 1>
<be, 1>
<as, 1>
<lively, 1>
<and, 1>
<amiable, 1>
<as, 1>
<an, 1>
<absent, 1>
<mind, 1>
<and, 1>
<aching, 1>
<head, 1>
<and, 1>
<a, 1>
<very, 1>
<decided, 1>
<disapproval, 1>
<of, 1>
<everybody, 1>
<and, 1>
<everything, 1>
<would, 1>
<allow, 1>
<and, 1>
<as, 1>
<she, 1>
<wearily, 1>
<dressed, 1>
<Amy, 1>
<cheered, 1>
<herself, 1>
<with, 1>
<anticipations, 1>
<of, 1>
<the, 1>
<happy, 1>
<moment, 1>
<when, 1>
<lunch, 1>
<safely, 1>
<over, 1>
<she, 1>
<should, 1>
<drive, 1>
<away, 1>
<with, 1>
<her, 1>
<friends, 1>
<for, 1>
<an, 1>
<afternoon, 1>
<of, 1>
<artistic, 1>
<delights, 1>
<for, 1>
<the, 1>
<cherry, 1>
<bounce, 1>
<and, 1>
<the, 1>
<broken, 1>
<bridge, 1>
<were, 1>
<her, 1>
<strong, 1>
<points, 1>
<Then, 1>
<came, 1>
<the, 1>
<hours, 1>
<of, 1>
<suspense, 1>
<during, 1>
<which, 1>
<she, 1>
<vibrated, 1>
<from, 1>
<parlor, 1>
<to, 1>
<porch, 1>
<while, 1>
<public, 1>
<opinion, 1>
<varied, 1>
<like, 1>
<the, 1>
<weathercock, 1>
<A, 1>
<smart, 1>
<shower, 1>
<at, 1>
<eleven, 1>
<had, 1>
<evidently, 1>
<quenched, 1>
<the, 1>
<enthusiasm, 1>
<of, 1>
<the, 1>
<young, 1>
<ladies, 1>
<who, 1>
<were, 1>
<to, 1>
<arrive, 1>
<at, 1>
<twelve, 1>
<for, 1>
<nobody, 1>
<came, 1>
<and, 1>
<at, 1>
<two, 1>
<the, 1>
<exhausted, 1>
<family, 1>
<sat, 1>
<down, 1>
<in, 1>
<a, 1>
<blaze, 1>
<of, 1>
<sunshine, 1>
<to, 1>
<consume, 1>
<the, 1>
<perishable, 1>
<portions, 1>
<of, 1>
<the, 1>
<feast, 1>
<that, 1>
<nothing, 1>
<might, 1>
<be, 1>
<lost, 1>
<No, 1>
<doubt, 1>
<about, 1>
<the, 1>
<weather, 1>
<today, 1>
<they, 1>
<will, 1>
<certainly, 1>
<come, 1>
<so, 1>
<we, 1>
<must, 1>
<fly, 1>
<round, 1>
<and, 1>
<be, 1>
<ready, 1>
<for, 1>
<them, 1>
<said, 1>
<Amy, 1>
<as, 1>
<the, 1>
<sun, 1>
<woke, 1>
<her, 1>
<next, 1>
<morning, 1>
<She, 1>
<spoke, 1>
<briskly, 1>
<but, 1>
<in, 1>
<her, 1>
<secret, 1>
<soul, 1>
<she, 1>
<wished, 1>
<she, 1>
<had, 1>
<said, 1>
<nothing, 1>
<about, 1>
<Tuesday, 1>
<for, 1>
<her, 1>
<interest, 1>
<like, 1>
<her, 1>
<cake, 1>
<was, 1>
<getting, 1>
<a, 1>
<little, 1>
<stale, 1>
<I, 1>
<can, 1>
<t, 1>
<get, 1>
<any, 1>
<lobsters, 1>
<so, 1>
<you, 1>
<will, 1>
<have, 1>
<to, 1>
<do, 1>
<without, 1>
<salad, 1>
<today, 1>
<said, 1>
<Mr, 1>
<March, 1>
<coming, 1>
<in, 1>
<half, 1>
<an, 1>
<hour, 1>
<later, 1>
<with, 1>
<an, 1>
<expression, 1>
<of, 1>
<placid, 1>
<despair, 1>
<Use, 1>
<the, 1>
<chicken, 1>
<then, 1>
<the, 1>
<toughness, 1>
<won, 1>
<t, 1>
<matter, 1>
<in, 1>
<a, 1>
<salad, 1>
<advised, 1>
<his, 1>
<wife, 1>
<Hannah, 1>
<left, 1>
<it, 1>
<on, 1>
<the, 1>
<kitchen, 1>
<table, 1>
<a, 1>
<minute, 1>
<and, 1>
<the, 1>
<kittens, 1>
<got, 1>
<at, 1>
<it, 1>
<I, 1>
<m, 1>
<very, 1>
<sorry, 1>
<Amy, 1>
<added, 1>
<Beth, 1>
<who, 1>
<was, 1>
<still, 1>
<a, 1>
<patroness, 1>
<of, 1>
<cats, 1>
<Then, 1>
<I, 1>
<must, 1>
<have, 1>
<a, 1>
<lobster, 1>
<for, 1>
<tongue, 1>
<alone, 1>
<won, 1>
<t, 1>
<do, 1>
<said, 1>
<Amy, 1>
<decidedly, 1>
<Shall, 1>
<I, 1>
<rush, 1>
<into, 1>
<town, 1>
<and, 1>
<demand, 1>
<one, 1>
<asked, 1>
<Jo, 1>
<with, 1>
<the, 1>
<magnanimity, 1>
<of, 1>
<a, 1>
<martyr, 1>
<You, 1>
<d, 1>
<come, 1>
<bringing, 1>
<it, 1>
<home, 1>
<under, 1>
<your, 1>
<arm, 1>
<without, 1>
<any, 1>
<paper, 1>
<just, 1>
<to, 1>
<try, 1>
<me, 1>
<I, 1>
<ll, 1>
<go, 1>
<myself, 1>
<answered, 1>
<Amy, 1>
<whose, 1>
<temper, 1>
<was, 1>
<beginning, 1>
<to, 1>
<fail, 1>
<Shrouded, 1>
<in, 1>
<a, 1>
<thick, 1>
<veil, 1>
<and, 1>
<armed, 1>
<with, 1>
<a, 1>
<genteel, 1>
<traveling, 1>
<basket, 1>
<she, 1>
<departed, 1>
<feeling, 1>
<that, 1>
<a, 1>
<cool, 1>
<drive, 1>
<would, 1>
<soothe, 1>
<her, 1>
<ruffled, 1>
<spirit, 1>
<and, 1>
<fit, 1>
<her, 1>
<for, 1>
<the, 1>
<labors, 1>
<of, 1>
<the, 1>
<day, 1>
<After, 1>
<some, 1>
<delay, 1>
<the, 1>
<object, 1>
<of, 1>
<her, 1>
<desire, 1>
<was, 1>
<procured, 1>
<likewise, 1>
<a, 1>
<bottle, 1>
<of, 1>
<dressing, 1>
<to, 1>
<prevent, 1>
<further, 1>
<loss, 1>
<of, 1>
<time, 1>
<at, 1>
<home, 1>
<and, 1>
<off, 1>
<she, 1>
<drove, 1>
<again, 1>
<well, 1>
<pleased, 1>
<with, 1>
<her, 1>
<own, 1>
<forethought, 1>
<As, 1>
<the, 1>
<omnibus, 1>
<contained, 1>
<only, 1>
<one, 1>
<other, 1>
<passenger, 1>
<a, 1>
<sleepy, 1>
<old, 1>
<lady, 1>
<Amy, 1>
<pocketed, 1>
<her, 1>
<veil, 1>
<and, 1>
<beguiled, 1>
<the, 1>
<tedium, 1>
<of, 1>
<the, 1>
<way, 1>
<by, 1>
<trying, 1>
<to, 1>
<find, 1>
<out, 1>
<where, 1>
<all, 1>
<her, 1>
<money, 1>
<had, 1>
<gone, 1>
<to, 1>
<So, 1>
<busy, 1>
<was, 1>
<she, 1>
<with, 1>
<her, 1>
<card, 1>
<full, 1>
<of, 1>
<refractory, 1>
<figures, 1>
<that, 1>
<she, 1>
<did, 1>
<not, 1>
<observe, 1>
<a, 1>
<newcomer, 1>
<who, 1>
<entered, 1>
<without, 1>
<stopping, 1>
<the, 1>
<vehicle, 1>
<till, 1>
<a, 1>
<masculine, 1>
<voice, 1>
<said, 1>
<Good, 1>
<morning, 1>
<Miss, 1>
<March, 1>
<and, 1>
<looking, 1>
<up, 1>
<she, 1>
<beheld, 1>
<one, 1>
<of, 1>
<Laurie, 1>
<s, 1>
<most, 1>
<elegant, 1>
<college, 1>
<friends, 1>
<Fervently, 1>
<hoping, 1>
<that, 1>
<he, 1>
<would, 1>
<get, 1>
<out, 1>
<before, 1>
<she, 1>
<did, 1>
<Amy, 1>
<utterly, 1>
<ignored, 1>
<the, 1>
<basket, 1>
<at, 1>
<her, 1>
<feet, 1>
<and, 1>
<congratulating, 1>
<herself, 1>
<that, 1>
<she, 1>
<had, 1>
<on, 1>
<her, 1>
<new, 1>
<traveling, 1>
<dress, 1>
<returned, 1>
<the, 1>
<young, 1>
<man, 1>
<s, 1>
<greeting, 1>
<with, 1>
<her, 1>
<usual, 1>
<suavity, 1>
<and, 1>
<spirit, 1>
<They, 1>
<got, 1>
<on, 1>
<excellently, 1>
<for, 1>
<Amy, 1>
<s, 1>
<chief, 1>
<care, 1>
<was, 1>
<soon, 1>
<set, 1>
<at, 1>
<rest, 1>
<by, 1>
<learning, 1>
<that, 1>
<the, 1>
<gentleman, 1>
<would, 1>
<leave, 1>
<first, 1>
<and, 1>
<she, 1>
<was, 1>
<chatting, 1>
<away, 1>
<in, 1>
<a, 1>
<peculiarly, 1>
<lofty, 1>
<strain, 1>
<when, 1>
<the, 1>
<old, 1>
<lady, 1>
<got, 1>
<out, 1>
<In, 1>
<stumbling, 1>
<to, 1>
<the, 1>
<door, 1>
<she, 1>
<upset, 1>
<the, 1>
<basket, 1>
<and, 1>
<oh, 1>
<horror, 1>
<the, 1>
<lobster, 1>
<in, 1>
<all, 1>
<its, 1>
<vulgar, 1>
<size, 1>
<and, 1>
<brilliancy, 1>
<was, 1>
<revealed, 1>
<to, 1>
<the, 1>
<highborn, 1>
<eyes, 1>
<of, 1>
<a, 1>
<Tudor, 1>
<By, 1>
<Jove, 1>
<she, 1>
<s, 1>
<forgotten, 1>
<her, 1>
<dinner, 1>
<cried, 1>
<the, 1>
<unconscious, 1>
<youth, 1>
<poking, 1>
<the, 1>
<scarlet, 1>
<monster, 1>
<into, 1>
<its, 1>
<place, 1>
<with, 1>
<his, 1>
<cane, 1>
<and, 1>
<preparing, 1>
<to, 1>
<hand, 1>
<out, 1>
<the, 1>
<basket, 1>
<after, 1>
<the, 1>
<old, 1>
<lady, 1>
<Please, 1>
<don, 1>
<t, 1>
<it, 1>
<s, 1>
<it, 1>
<s, 1>
<mine, 1>
<murmured, 1>
<Amy, 1>
<with, 1>
<a, 1>
<face, 1>
<nearly, 1>
<as, 1>
<red, 1>
<as, 1>
<her, 1>
<fish, 1>
<Oh, 1>
<really, 1>
<I, 1>
<beg, 1>
<pardon, 1>
<It, 1>
<s, 1>
<an, 1>
<uncommonly, 1>
<fine, 1>
<one, 1>
<isn, 1>
<t, 1>
<it, 1>
<said, 1>
<Tudor, 1>
<with, 1>
<great, 1>
<presence, 1>
<of, 1>
<mind, 1>
<and, 1>
<an, 1>
<air, 1>
<of, 1>
<sober, 1>
<interest, 1>
<that, 1>
<did, 1>
<credit, 1>
<to, 1>
<his, 1>
<breeding, 1>
<Amy, 1>
<recovered, 1>
<herself, 1>
<in, 1>
<a, 1>
<breath, 1>
<set, 1>
<her, 1>
<basket, 1>
<boldly, 1>
<on, 1>
<the, 1>
<seat, 1>
<and, 1>
<said, 1>
<laughing, 1>
<Don, 1>
<t, 1>
<you, 1>
<wish, 1>
<you, 1>
<were, 1>
<to, 1>
<have, 1>
<some, 1>
<of, 1>
<the, 1>
<salad, 1>
<he, 1>
<s, 1>
<going, 1>
<to, 1>
<make, 1>
<and, 1>
<to, 1>
<see, 1>
<the, 1>
<charming, 1>
<young, 1>
<ladies, 1>
<who, 1>
<are, 1>
<to, 1>
<eat, 1>
<it, 1>
<Now, 1>
<that, 1>
<was, 1>
<tact, 1>
<for, 1>
<two, 1>
<of, 1>
<the, 1>
<ruling, 1>
<foibles, 1>
<of, 1>
<the, 1>
<masculine, 1>
<mind, 1>
<were, 1>
<touched, 1>
<The, 1>
<lobster, 1>
<was, 1>
<instantly, 1>
<surrounded, 1>
<by, 1>
<a, 1>
<halo, 1>
<of, 1>
<pleasing, 1>
<reminiscences, 1>
<and, 1>
<curiosity, 1>
<about, 1>
<the, 1>
<charming, 1>
<young, 1>
<ladies, 1>
<diverted, 1>
<his, 1>
<mind, 1>
<from, 1>
<the, 1>
<comical, 1>
<mishap, 1>
<I, 1>
<suppose, 1>
<he, 1>
<ll, 1>
<laugh, 1>
<and, 1>
<joke, 1>
<over, 1>
<it, 1>
<with, 1>
<Laurie, 1>
<but, 1>
<I, 1>
<shan, 1>
<t, 1>
<see, 1>
<them, 1>
<that, 1>
<s, 1>
<a, 1>
<comfort, 1>
<thought, 1>
<Amy, 1>
<as, 1>
<Tudor, 1>
<bowed, 1>
<and, 1>
<departed, 1>
<She, 1>
<did, 1>
<not, 1>
<mention, 1>
<this, 1>
<meeting, 1>
<at, 1>
<home, 1>
<though, 1>
<she, 1>
<discovered, 1>
<that, 1>
<thanks, 1>
<to, 1>
<the, 1>
<upset, 1>
<her, 1>
<new, 1>
<dress, 1>
<was, 1>
<much, 1>
<damaged, 1>
<by, 1>
<the, 1>
<rivulets, 1>
<of, 1>
<dressing, 1>
<that, 1>
<meandered, 1>
<down, 1>
<the, 1>
<skirt, 1>
<but, 1>
<went, 1>
<through, 1>
<with, 1>
<the, 1>
<preparations, 1>
<which, 1>
<now, 1>
<seemed, 1>
<more, 1>
<irksome, 1>
<than, 1>
<before, 1>
<and, 1>
<at, 1>
<twelve, 1>
<o, 1>
<clock, 1>
<all, 1>
<was, 1>
<ready, 1>
<again, 1>
<Feeling, 1>
<that, 1>
<the, 1>
<neighbors, 1>
<were, 1>
<interested, 1>
<in, 1>
<her, 1>
<movements, 1>
<she, 1>
<wished, 1>
<to, 1>
<efface, 1>
<the, 1>
<memory, 1>
<of, 1>
<yesterday, 1>
<s, 1>
<failure, 1>
<by, 1>
<a, 1>
<grand, 1>
<success, 1>
<today, 1>
<so, 1>
<she, 1>
<ordered, 1>
<the, 1>
<cherry, 1>
<bounce, 1>
<and, 1>
<drove, 1>
<away, 1>
<in, 1>
<state, 1>
<to, 1>
<meet, 1>
<and, 1>
<escort, 1>
<her, 1>
<guests, 1>
<to, 1>
<the, 1>
<banquet, 1>
<There, 1>
<s, 1>
<the, 1>
<rumble, 1>
<they, 1>
<re, 1>
<coming, 1>
<I, 1>
<ll, 1>
<go, 1>
<onto, 1>
<the, 1>
<porch, 1>
<and, 1>
<meet, 1>
<them, 1>
<It, 1>
<looks, 1>
<hospitable, 1>
<and, 1>
<I, 1>
<want, 1>
<the, 1>
<poor, 1>
<child, 1>
<to, 1>
<have, 1>
<a, 1>
<good, 1>
<time, 1>
<after, 1>
<all, 1>
<her, 1>
<trouble, 1>
<said, 1>
<Mrs, 1>
<March, 1>
<suiting, 1>
<the, 1>
<action, 1>
<to, 1>
<the, 1>
<word, 1>
<But, 1>
<after, 1>
<one, 1>
<glance, 1>
<she, 1>
<retired, 1>
<with, 1>
<an, 1>
<indescribable, 1>
<expression, 1>
<for, 1>
<looking, 1>
<quite, 1>
<lost, 1>
<in, 1>
<the, 1>
<big, 1>
<carriage, 1>
<sat, 1>
<Amy, 1>
<and, 1>
<one, 1>
<young, 1>
<lady, 1>
<Run, 1>
<Beth, 1>
<and, 1>
<help, 1>
<Hannah, 1>
<clear, 1>
<half, 1>
<the, 1>
<things, 1>
<off, 1>
<the, 1>
<table, 1>
<It, 1>
<will, 1>
<be, 1>
<too, 1>
<absurd, 1>
<to, 1>
<put, 1>
<a, 1>
<luncheon, 1>
<for, 1>
<twelve, 1>
<before, 1>
<a, 1>
<single, 1>
<girl, 1>
<cried, 1>
<Jo, 1>
<hurrying, 1>
<away, 1>
<to, 1>
<the, 1>
<lower, 1>
<regions, 1>
<too, 1>
<excited, 1>
<to, 1>
<stop, 1>
<even, 1>
<for, 1>
<a, 1>
<laugh, 1>
<In, 1>
<came, 1>
<Amy, 1>
<quite, 1>
<calm, 1>
<and, 1>
<delightfully, 1>
<cordial, 1>
<to, 1>
<the, 1>
<one, 1>
<guest, 1>
<who, 1>
<had, 1>
<kept, 1>
<her, 1>
<promise, 1>
<The, 1>
<rest, 1>
<of, 1>
<the, 1>
<family, 1>
<being, 1>
<of, 1>
<a, 1>
<dramatic, 1>
<turn, 1>
<played, 1>
<their, 1>
<parts, 1>
<equally, 1>
<well, 1>
<and, 1>
<Miss, 1>
<Eliott, 1>
<found, 1>
<them, 1>
<a, 1>
<most, 1>
<hilarious, 1>
<set, 1>
<for, 1>
<it, 1>
<was, 1>
<impossible, 1>
<to, 1>
<control, 1>
<entirely, 1>
<the, 1>
<merriment, 1>
<which, 1>
<possessed, 1>
<them, 1>
<The, 1>
<remodeled, 1>
<lunch, 1>
<being, 1>
<gaily, 1>
<partaken, 1>
<of, 1>
<the, 1>
<studio, 1>
<and, 1>
<garden, 1>
<visited, 1>
<and, 1>
<art, 1>
<discussed, 1>
<with, 1>
<enthusiasm, 1>
<Amy, 1>
<ordered, 1>
<a, 1>
<buggy, 1>
<alas, 1>
<for, 1>
<the, 1>
<elegant, 1>
<cherry, 1>
<bounce, 1>
<and, 1>
<drove, 1>
<her, 1>
<friend, 1>
<quietly, 1>
<about, 1>
<the, 1>
<neighborhood, 1>
<till, 1>
<sunset, 1>
<when, 1>
<the, 1>
<party, 1>
<went, 1>
<out, 1>
<As, 1>
<she, 1>
<came, 1>
<walking, 1>
<in, 1>
<looking, 1>
<very, 1>
<tired, 1>
<but, 1>
<as, 1>
<composed, 1>
<as, 1>
<ever, 1>
<she, 1>
<observed, 1>
<that, 1>
<every, 1>
<vestige, 1>
<of, 1>
<the, 1>
<unfortunate, 1>
<fete, 1>
<had, 1>
<disappeared, 1>
<except, 1>
<a, 1>
<suspicious, 1>
<pucker, 1>
<about, 1>
<the, 1>
<corners, 1>
<of, 1>
<Jo, 1>
<s, 1>
<mouth, 1>
<You, 1>
<ve, 1>
<had, 1>
<a, 1>
<loverly, 1>
<afternoon, 1>
<for, 1>
<your, 1>
<drive, 1>
