<The, 1>
<one, 1>
<beauty, 1>
<but, 1>
<it, 1>
<was, 1>
<usually, 1>
<bundled, 1>
<into, 1>
<a, 1>
<net, 1>
<to, 1>
<be, 1>
<out, 1>
<of, 1>
<her, 1>
<way, 1>
<Round, 1>
<shoulders, 1>
<had, 1>
<Jo, 1>
<big, 1>
<hands, 1>
<and, 1>
<feet, 1>
<a, 1>
<flyaway, 1>
<look, 1>
<to, 1>
<her, 1>
<clothes, 1>
<and, 1>
<the, 1>
<uncomfortable, 1>
<appearance, 1>
<of, 1>
<a, 1>
<girl, 1>
<who, 1>
<was, 1>
<rapidly, 1>
<shooting, 1>
<up, 1>
<into, 1>
<a, 1>
<woman, 1>
<and, 1>
<didn, 1>
<t, 1>
<like, 1>
<it, 1>
<Elizabeth, 1>
<or, 1>
<Beth, 1>
<as, 1>
<everyone, 1>
<called, 1>
<her, 1>
<was, 1>
<a, 1>
<rosy, 1>
<smooth, 1>
<haired, 1>
<bright, 1>
<eyed, 1>
<girl, 1>
<of, 1>
<thirteen, 1>
<with, 1>
<a, 1>
<shy, 1>
<manner, 1>
<a, 1>
<timid, 1>
<voice, 1>
<and, 1>
<a, 1>
<peaceful, 1>
<expression, 1>
<which, 1>
<was, 1>
<seldom, 1>
<disturbed, 1>
<Her, 1>
<father, 1>
<called, 1>
<her, 1>
<Little, 1>
<Miss, 1>
<Tranquility, 1>
<and, 1>
<the, 1>
<name, 1>
<suited, 1>
<her, 1>
<excellently, 1>
<for, 1>
<she, 1>
<seemed, 1>
<to, 1>
<live, 1>
<in, 1>
<a, 1>
<happy, 1>
<world, 1>
<of, 1>
<her, 1>
<own, 1>
<only, 1>
<venturing, 1>
<out, 1>
<to, 1>
<meet, 1>
<the, 1>
<few, 1>
<whom, 1>
<she, 1>
<trusted, 1>
<and, 1>
<loved, 1>
<Amy, 1>
<though, 1>
<the, 1>
<youngest, 1>
<was, 1>
<a, 1>
<most, 1>
<important, 1>
<person, 1>
<in, 1>
<her, 1>
<own, 1>
<opinion, 1>
<at, 1>
<least, 1>
<A, 1>
<regular, 1>
<snow, 1>
<maiden, 1>
<with, 1>
<blue, 1>
<eyes, 1>
<and, 1>
<yellow, 1>
<hair, 1>
<curling, 1>
<on, 1>
<her, 1>
<shoulders, 1>
<pale, 1>
<and, 1>
<slender, 1>
<and, 1>
<always, 1>
<carrying, 1>
<herself, 1>
<like, 1>
<a, 1>
<young, 1>
<lady, 1>
<mindful, 1>
<of, 1>
<her, 1>
<manners, 1>
<What, 1>
<the, 1>
<characters, 1>
<of, 1>
<the, 1>
<four, 1>
<sisters, 1>
<were, 1>
<we, 1>
<will, 1>
<leave, 1>
<to, 1>
<be, 1>
<found, 1>
<out, 1>
<The, 1>
<clock, 1>
<struck, 1>
<six, 1>
<and, 1>
<having, 1>
<swept, 1>
<up, 1>
<the, 1>
<hearth, 1>
<Beth, 1>
<put, 1>
<a, 1>
<pair, 1>
<of, 1>
<slippers, 1>
<down, 1>
<to, 1>
<warm, 1>
<Somehow, 1>
<the, 1>
<sight, 1>
<of, 1>
<the, 1>
<old, 1>
<shoes, 1>
<had, 1>
<a, 1>
<good, 1>
<effect, 1>
<upon, 1>
<the, 1>
<girls, 1>
<for, 1>
<Mother, 1>
<was, 1>
<coming, 1>
<and, 1>
<everyone, 1>
<brightened, 1>
<to, 1>
<welcome, 1>
<her, 1>
<Meg, 1>
<stopped, 1>
<lecturing, 1>
<and, 1>
<lighted, 1>
<the, 1>
<lamp, 1>
<Amy, 1>
<got, 1>
<out, 1>
<of, 1>
<the, 1>
<easy, 1>
<chair, 1>
<without, 1>
<being, 1>
<asked, 1>
<and, 1>
<Jo, 1>
<forgot, 1>
<how, 1>
<tired, 1>
<she, 1>
<was, 1>
<as, 1>
<she, 1>
<sat, 1>
<up, 1>
<to, 1>
<hold, 1>
<the, 1>
<slippers, 1>
<nearer, 1>
<to, 1>
<the, 1>
<blaze, 1>
<They, 1>
<are, 1>
<quite, 1>
<worn, 1>
<out, 1>
<Marmee, 1>
<must, 1>
<have, 1>
<a, 1>
<new, 1>
<pair, 1>
<I, 1>
<thought, 1>
<I, 1>
<d, 1>
<get, 1>
<her, 1>
<some, 1>
<with, 1>
<my, 1>
<dollar, 1>
<said, 1>
<Beth, 1>
<No, 1>
<I, 1>
<shall, 1>
<cried, 1>
<Amy, 1>
<I, 1>
<m, 1>
<the, 1>
<oldest, 1>
<began, 1>
<Meg, 1>
<but, 1>
<Jo, 1>
<cut, 1>
<in, 1>
<with, 1>
<a, 1>
<decided, 1>
<I, 1>
<m, 1>
<the, 1>
<man, 1>
<of, 1>
<the, 1>
<family, 1>
<now, 1>
<Papa, 1>
<is, 1>
<away, 1>
<and, 1>
<I, 1>
<shall, 1>
<provide, 1>
<the, 1>
<slippers, 1>
<for, 1>
<he, 1>
<told, 1>
<me, 1>
<to, 1>
<take, 1>
<special, 1>
<care, 1>
<of, 1>
<Mother, 1>
<while, 1>
<he, 1>
<was, 1>
<gone, 1>
<I, 1>
<ll, 1>
<tell, 1>
<you, 1>
<what, 1>
<we, 1>
<ll, 1>
<do, 1>
<said, 1>
<Beth, 1>
<let, 1>
<s, 1>
<each, 1>
<get, 1>
<her, 1>
<something, 1>
<for, 1>
<Christmas, 1>
<and, 1>
<not, 1>
<get, 1>
<anything, 1>
<for, 1>
<ourselves, 1>
<That, 1>
<s, 1>
<like, 1>
<you, 1>
<dear, 1>
<What, 1>
<will, 1>
<we, 1>
<get, 1>
<exclaimed, 1>
<Jo, 1>
<Everyone, 1>
<thought, 1>
<soberly, 1>
<for, 1>
<a, 1>
<minute, 1>
<then, 1>
<Meg, 1>
<announced, 1>
<as, 1>
<if, 1>
<the, 1>
<idea, 1>
<was, 1>
<suggested, 1>
<by, 1>
<the, 1>
<sight, 1>
<of, 1>
<her, 1>
<own, 1>
<pretty, 1>
<hands, 1>
<I, 1>
<shall, 1>
<give, 1>
<her, 1>
<a, 1>
<nice, 1>
<pair, 1>
<of, 1>
<gloves, 1>
<Army, 1>
<shoes, 1>
<best, 1>
<to, 1>
<be, 1>
<had, 1>
<cried, 1>
<Jo, 1>
<Some, 1>
<handkerchiefs, 1>
<all, 1>
<hemmed, 1>
<said, 1>
<Beth, 1>
<I, 1>
<ll, 1>
<get, 1>
<a, 1>
<little, 1>
<bottle, 1>
<of, 1>
<cologne, 1>
<She, 1>
<likes, 1>
<it, 1>
<and, 1>
<it, 1>
<won, 1>
<t, 1>
<cost, 1>
<much, 1>
<so, 1>
<I, 1>
<ll, 1>
<have, 1>
<some, 1>
<left, 1>
<to, 1>
<buy, 1>
<my, 1>
<pencils, 1>
<added, 1>
<Amy, 1>
<How, 1>
<will, 1>
<we, 1>
<give, 1>
<the, 1>
<things, 1>
<asked, 1>
<Meg, 1>
<Put, 1>
<them, 1>
<on, 1>
<the, 1>
<table, 1>
<and, 1>
<bring, 1>
<her, 1>
<in, 1>
<and, 1>
<see, 1>
<her, 1>
<open, 1>
<the, 1>
<bundles, 1>
<Don, 1>
<t, 1>
<you, 1>
<remember, 1>
<how, 1>
<we, 1>
<used, 1>
<to, 1>
<do, 1>
<on, 1>
<our, 1>
<birthdays, 1>
<answered, 1>
<Jo, 1>
<I, 1>
<used, 1>
<to, 1>
<be, 1>
<so, 1>
<frightened, 1>
<when, 1>
<it, 1>
<was, 1>
<my, 1>
<turn, 1>
<to, 1>
<sit, 1>
<in, 1>
<the, 1>
<chair, 1>
<with, 1>
<the, 1>
<crown, 1>
<on, 1>
<and, 1>
<see, 1>
<you, 1>
<all, 1>
<come, 1>
<marching, 1>
<round, 1>
<to, 1>
<give, 1>
<the, 1>
<presents, 1>
<with, 1>
<a, 1>
<kiss, 1>
<I, 1>
<liked, 1>
<the, 1>
<things, 1>
<and, 1>
<the, 1>
<kisses, 1>
<but, 1>
<it, 1>
<was, 1>
<dreadful, 1>
<to, 1>
<have, 1>
<you, 1>
<sit, 1>
<looking, 1>
<at, 1>
<me, 1>
<while, 1>
<I, 1>
<opened, 1>
<the, 1>
<bundles, 1>
<said, 1>
<Beth, 1>
<who, 1>
<was, 1>
<toasting, 1>
<her, 1>
<face, 1>
<and, 1>
<the, 1>
<bread, 1>
<for, 1>
<tea, 1>
<at, 1>
<the, 1>
<same, 1>
<time, 1>
<Let, 1>
<Marmee, 1>
<think, 1>
<we, 1>
<are, 1>
<getting, 1>
<things, 1>
<for, 1>
<ourselves, 1>
<and, 1>
<then, 1>
<surprise, 1>
<her, 1>
<We, 1>
<must, 1>
<go, 1>
<shopping, 1>
<tomorrow, 1>
<afternoon, 1>
<Meg, 1>
<There, 1>
<is, 1>
<so, 1>
<much, 1>
<to, 1>
<do, 1>
<about, 1>
<the, 1>
<play, 1>
<for, 1>
<Christmas, 1>
<night, 1>
<said, 1>
<Jo, 1>
<marching, 1>
<up, 1>
<and, 1>
<down, 1>
<with, 1>
<her, 1>
<hands, 1>
<behind, 1>
<her, 1>
<back, 1>
<and, 1>
<her, 1>
<nose, 1>
<in, 1>
<the, 1>
<air, 1>
<I, 1>
<don, 1>
<t, 1>
<mean, 1>
<to, 1>
<act, 1>
<any, 1>
<more, 1>
<after, 1>
<this, 1>
<time, 1>
<I, 1>
<m, 1>
<getting, 1>
<too, 1>
<old, 1>
<for, 1>
<such, 1>
<things, 1>
<observed, 1>
<Meg, 1>
<who, 1>
<was, 1>
<as, 1>
<much, 1>
<a, 1>
<child, 1>
<as, 1>
<ever, 1>
<about, 1>
<dressing, 1>
<up, 1>
<frolics, 1>
<You, 1>
<won, 1>
<t, 1>
<stop, 1>
<I, 1>
<know, 1>
<as, 1>
<long, 1>
<as, 1>
<you, 1>
<can, 1>
<trail, 1>
<round, 1>
<in, 1>
<a, 1>
<white, 1>
<gown, 1>
<with, 1>
<your, 1>
<hair, 1>
<down, 1>
<and, 1>
<wear, 1>
<gold, 1>
<paper, 1>
<jewelry, 1>
<You, 1>
<are, 1>
<the, 1>
<best, 1>
<actress, 1>
<we, 1>
<ve, 1>
<got, 1>
<and, 1>
<there, 1>
<ll, 1>
<be, 1>
<an, 1>
<end, 1>
<of, 1>
<everything, 1>
<if, 1>
<you, 1>
<quit, 1>
<the, 1>
<boards, 1>
<said, 1>
<Jo, 1>
<We, 1>
<ought, 1>
<to, 1>
<rehearse, 1>
<tonight, 1>
<Come, 1>
<here, 1>
<Amy, 1>
<and, 1>
<do, 1>
<the, 1>
<fainting, 1>
<scene, 1>
<for, 1>
<you, 1>
<are, 1>
<as, 1>
<stiff, 1>
<as, 1>
<a, 1>
<poker, 1>
<in, 1>
<that, 1>
<I, 1>
<can, 1>
<t, 1>
<help, 1>
<it, 1>
<I, 1>
<never, 1>
<saw, 1>
<anyone, 1>
<faint, 1>
<and, 1>
<I, 1>
<don, 1>
<t, 1>
<choose, 1>
<to, 1>
<make, 1>
<myself, 1>
<all, 1>
<black, 1>
<and, 1>
<blue, 1>
<tumbling, 1>
<flat, 1>
<as, 1>
<you, 1>
<do, 1>
<If, 1>
<I, 1>
<can, 1>
<go, 1>
<down, 1>
<easily, 1>
<I, 1>
<ll, 1>
<drop, 1>
<If, 1>
<I, 1>
<can, 1>
<t, 1>
<I, 1>
<shall, 1>
<fall, 1>
<into, 1>
<a, 1>
<chair, 1>
<and, 1>
<be, 1>
<graceful, 1>
<I, 1>
<don, 1>
<t, 1>
<care, 1>
<if, 1>
<Hugo, 1>
<does, 1>
<come, 1>
<at, 1>
<me, 1>
<with, 1>
<a, 1>
<pistol, 1>
<returned, 1>
<Amy, 1>
<who, 1>
<was, 1>
<not, 1>
<gifted, 1>
<with, 1>
<dramatic, 1>
<power, 1>
<but, 1>
<was, 1>
<chosen, 1>
<because, 1>
<she, 1>
<was, 1>
<small, 1>
<enough, 1>
<to, 1>
<be, 1>
<borne, 1>
<out, 1>
<shrieking, 1>
<by, 1>
<the, 1>
<villain, 1>
<of, 1>
<the, 1>
<piece, 1>
<Do, 1>
<it, 1>
<this, 1>
<way, 1>
<Clasp, 1>
<your, 1>
<hands, 1>
<so, 1>
<and, 1>
<stagger, 1>
<across, 1>
<the, 1>
<room, 1>
<crying, 1>
<frantically, 1>
<Roderigo, 1>
<Save, 1>
<me, 1>
<Save, 1>
<me, 1>
<and, 1>
<away, 1>
<went, 1>
<Jo, 1>
<with, 1>
<a, 1>
<melodramatic, 1>
<scream, 1>
<which, 1>
<was, 1>
<truly, 1>
<thrilling, 1>
<Amy, 1>
<followed, 1>
<but, 1>
<she, 1>
<poked, 1>
<her, 1>
<hands, 1>
<out, 1>
<stiffly, 1>
<before, 1>
<her, 1>
<and, 1>
<jerked, 1>
<herself, 1>
<along, 1>
<as, 1>
<if, 1>
<she, 1>
<went, 1>
<by, 1>
<machinery, 1>
<and, 1>
<her, 1>
<Ow, 1>
<was, 1>
<more, 1>
<suggestive, 1>
<of, 1>
<pins, 1>
<being, 1>
<run, 1>
<into, 1>
<her, 1>
<than, 1>
<of, 1>
<fear, 1>
<and, 1>
<anguish, 1>
<Jo, 1>
<gave, 1>
<a, 1>
<despairing, 1>
<groan, 1>
<and, 1>
<Meg, 1>
<laughed, 1>
<outright, 1>
<while, 1>
<Beth, 1>
<let, 1>
<her, 1>
<bread, 1>
<burn, 1>
<as, 1>
<she, 1>
<watched, 1>
<the, 1>
<fun, 1>
<with, 1>
<interest, 1>
<It, 1>
<s, 1>
<no, 1>
<use, 1>
<Do, 1>
<the, 1>
<best, 1>
<you, 1>
<can, 1>
<when, 1>
<the, 1>
<time, 1>
<comes, 1>
<and, 1>
<if, 1>
<the, 1>
<audience, 1>
<laughs, 1>
<don, 1>
<t, 1>
<blame, 1>
<me, 1>
<Come, 1>
<on, 1>
<Meg, 1>
<Then, 1>
<things, 1>
<went, 1>
<smoothly, 1>
<for, 1>
<Don, 1>
<Pedro, 1>
<defied, 1>
<the, 1>
<world, 1>
<in, 1>
<a, 1>
<speech, 1>
<of, 1>
<two, 1>
<pages, 1>
<without, 1>
<a, 1>
<single, 1>
<break, 1>
<Hagar, 1>
<the, 1>
<witch, 1>
<chanted, 1>
<an, 1>
<awful, 1>
<incantation, 1>
<over, 1>
<her, 1>
<kettleful, 1>
<of, 1>
<simmering, 1>
<toads, 1>
<with, 1>
<weird, 1>
<effect, 1>
<Roderigo, 1>
<rent, 1>
<his, 1>
<chains, 1>
<asunder, 1>
<manfully, 1>
<and, 1>
<Hugo, 1>
<died, 1>
<in, 1>
<agonies, 1>
<of, 1>
<remorse, 1>
<and, 1>
<arsenic, 1>
<with, 1>
<a, 1>
<wild, 1>
<Ha, 1>
<Ha, 1>
<It, 1>
<s, 1>
<the, 1>
<best, 1>
<we, 1>
<ve, 1>
<had, 1>
<yet, 1>
<said, 1>
<Meg, 1>
<as, 1>
<the, 1>
<dead, 1>
<villain, 1>
<sat, 1>
<up, 1>
<and, 1>
<rubbed, 1>
<his, 1>
<elbows, 1>
<I, 1>
<don, 1>
<t, 1>
<see, 1>
<how, 1>
<you, 1>
<can, 1>
<write, 1>
<and, 1>
<act, 1>
<such, 1>
<splendid, 1>
<things, 1>
<Jo, 1>
<You, 1>
<re, 1>
<a, 1>
<regular, 1>
<Shakespeare, 1>
<exclaimed, 1>
<Beth, 1>
<who, 1>
<firmly, 1>
<believed, 1>
<that, 1>
<her, 1>
<sisters, 1>
<were, 1>
<gifted, 1>
<with, 1>
<wonderful, 1>
<genius, 1>
<in, 1>
<all, 1>
<things, 1>
<Not, 1>
<quite, 1>
<replied, 1>
<Jo, 1>
<modestly, 1>
<I, 1>
<do, 1>
<think, 1>
<The, 1>
<Witches, 1>
<Curse, 1>
<an, 1>
<Operatic, 1>
<Tragedy, 1>
<is, 1>
<rather, 1>
<a, 1>
<nice, 1>
<thing, 1>
<but, 1>
<I, 1>
<d, 1>
<like, 1>
<to, 1>
<try, 1>
<Macbeth, 1>
<if, 1>
<we, 1>
<only, 1>
<had, 1>
<a, 1>
<trapdoor, 1>
<for, 1>
<Banquo, 1>
<I, 1>
<always, 1>
<wanted, 1>
<to, 1>
<do, 1>
<the, 1>
<killing, 1>
<part, 1>
<Is, 1>
<that, 1>
<a, 1>
<dagger, 1>
<that, 1>
<I, 1>
<see, 1>
<before, 1>
<me, 1>
<muttered, 1>
<Jo, 1>
<rolling, 1>
<her, 1>
<eyes, 1>
<and, 1>
<clutching, 1>
<at, 1>
<the, 1>
<air, 1>
<as, 1>
<she, 1>
<had, 1>
<seen, 1>
<a, 1>
<famous, 1>
<tragedian, 1>
<do, 1>
<No, 1>
<it, 1>
<s, 1>
<the, 1>
<toasting, 1>
<fork, 1>
<with, 1>
<Mother, 1>
<s, 1>
<shoe, 1>
<on, 1>
<it, 1>
<instead, 1>
<of, 1>
<the, 1>
<bread, 1>
<Beth, 1>
<s, 1>
<stage, 1>
<struck, 1>
<cried, 1>
<Meg, 1>
<and, 1>
<the, 1>
<rehearsal, 1>
<ended, 1>
<in, 1>
<a, 1>
<general, 1>
<burst, 1>
<of, 1>
<laughter, 1>
<Glad, 1>
<to, 1>
<find, 1>
<you, 1>
<so, 1>
<merry, 1>
<my, 1>
<girls, 1>
<said, 1>
<a, 1>
<cheery, 1>
<voice, 1>
<at, 1>
<the, 1>
<door, 1>
<and, 1>
<actors, 1>
<and, 1>
<audience, 1>
<turned, 1>
<to, 1>
<welcome, 1>
<a, 1>
<tall, 1>
<motherly, 1>
<lady, 1>
<with, 1>
<a, 1>
<can, 1>
<I, 1>
<help, 1>
<you, 1>
<look, 1>
<about, 1>
<her, 1>
<which, 1>
<was, 1>
<truly, 1>
<delightful, 1>
<She, 1>
<was, 1>
<not, 1>
<elegantly, 1>
<dressed, 1>
<but, 1>
<a, 1>
<noble, 1>
<looking, 1>
<woman, 1>
<and, 1>
<the, 1>
<girls, 1>
<thought, 1>
<the, 1>
<gray, 1>
<cloak, 1>
<and, 1>
<unfashionable, 1>
<bonnet, 1>
<covered, 1>
<the, 1>
<most, 1>
<splendid, 1>
<mother, 1>
<in, 1>
<the, 1>
<world, 1>
<Well, 1>
<dearies, 1>
<how, 1>
<have, 1>
<you, 1>
<got, 1>
<on, 1>
<today, 1>
<There, 1>
<was, 1>
<so, 1>
<much, 1>
<to, 1>
<do, 1>
<getting, 1>
<the, 1>
<boxes, 1>
<ready, 1>
<to, 1>
<go, 1>
<tomorrow, 1>
<that, 1>
<I, 1>
<didn, 1>
<t, 1>
<come, 1>
<home, 1>
<to, 1>
<dinner, 1>
<Has, 1>
<anyone, 1>
<called, 1>
<Beth, 1>
<How, 1>
<is, 1>
<your, 1>
<cold, 1>
<Meg, 1>
<Jo, 1>
<you, 1>
<look, 1>
<tired, 1>
<to, 1>
<death, 1>
<Come, 1>
<and, 1>
<kiss, 1>
<me, 1>
<baby, 1>
<While, 1>
<making, 1>
<these, 1>
<maternal, 1>
<inquiries, 1>
<Mrs, 1>
<March, 1>
<got, 1>
<her, 1>
<wet, 1>
<things, 1>
<off, 1>
<her, 1>
<warm, 1>
<slippers, 1>
<on, 1>
<and, 1>
<sitting, 1>
<down, 1>
<in, 1>
<the, 1>
<easy, 1>
<chair, 1>
<drew, 1>
<Amy, 1>
<to, 1>
<her, 1>
<lap, 1>
<preparing, 1>
<to, 1>
<enjoy, 1>
<the, 1>
<happiest, 1>
<hour, 1>
<of, 1>
<her, 1>
<busy, 1>
<day, 1>
<The, 1>
<girls, 1>
<flew, 1>
<about, 1>
<trying, 1>
<to, 1>
<make, 1>
<things, 1>
<comfortable, 1>
<each, 1>
<in, 1>
<her, 1>
<own, 1>
<way, 1>
<Meg, 1>
<arranged, 1>
<the, 1>
<tea, 1>
<table, 1>
<Jo, 1>
<brought, 1>
<wood, 1>
<and, 1>
<set, 1>
<chairs, 1>
<dropping, 1>
<over, 1>
<turning, 1>
<and, 1>
<clattering, 1>
<everything, 1>
<she, 1>
<touched, 1>
<Beth, 1>
<trotted, 1>
<to, 1>
<and, 1>
<fro, 1>
<between, 1>
<parlor, 1>
<kitchen, 1>
<quiet, 1>
<and, 1>
<busy, 1>
<while, 1>
<Amy, 1>
<gave, 1>
<directions, 1>
<to, 1>
<everyone, 1>
<as, 1>
<she, 1>
<sat, 1>
<with, 1>
<her, 1>
<hands, 1>
<folded, 1>
<As, 1>
<they, 1>
<gathered, 1>
<about, 1>
<the, 1>
<table, 1>
<Mrs, 1>
<March, 1>
<said, 1>
<with, 1>
<a, 1>
<particularly, 1>
<happy, 1>
<face, 1>
<I, 1>
<ve, 1>
<got, 1>
<a, 1>
<treat, 1>
<for, 1>
<you, 1>
<after, 1>
<supper, 1>
<A, 1>
<quick, 1>
<bright, 1>
<smile, 1>
<went, 1>
<round, 1>
<like, 1>
<a, 1>
<streak, 1>
<of, 1>
<sunshine, 1>
<Beth, 1>
<clapped, 1>
<her, 1>
<hands, 1>
<regardless, 1>
<of, 1>
<the, 1>
<biscuit, 1>
<she, 1>
<held, 1>
<and, 1>
<Jo, 1>
<tossed, 1>
<up, 1>
<her, 1>
<napkin, 1>
<crying, 1>
<A, 1>
<letter, 1>
<A, 1>
<letter, 1>
<Three, 1>
<cheers, 1>
<for, 1>
<Father, 1>
<Yes, 1>
<a, 1>
<nice, 1>
<long, 1>
<letter, 1>
<He, 1>
<is, 1>
<well, 1>
<and, 1>
<thinks, 1>
<he, 1>
<shall, 1>
<get, 1>
<through, 1>
<the, 1>
<cold, 1>
<season, 1>
<better, 1>
<than, 1>
<we, 1>
<feared, 1>
<He, 1>
<sends, 1>
<all, 1>
<sorts, 1>
<of, 1>
<loving, 1>
<wishes, 1>
<for, 1>
<Christmas, 1>
<and, 1>
<an, 1>
<especial, 1>
<message, 1>
<to, 1>
<you, 1>
<girls, 1>
<said, 1>
<Mrs, 1>
<March, 1>
<patting, 1>
<her, 1>
<pocket, 1>
<as, 1>
<if, 1>
<she, 1>
<had, 1>
<got, 1>
<a, 1>
<treasure, 1>
<there, 1>
<Hurry, 1>
<and, 1>
<get, 1>
<done, 1>
<Don, 1>
<t, 1>
<stop, 1>
<to, 1>
<quirk, 1>
<your, 1>
<little, 1>
<finger, 1>
<and, 1>
<simper, 1>
<over, 1>
<your, 1>
<plate, 1>
<Amy, 1>
<cried, 1>
<Jo, 1>
<choking, 1>
<on, 1>
<her, 1>
<tea, 1>
<and, 1>
<dropping, 1>
<her, 1>
<bread, 1>
<butter, 1>
<side, 1>
<down, 1>
<on, 1>
<the, 1>
<carpet, 1>
<in, 1>
<her, 1>
<haste, 1>
<to, 1>
<get, 1>
<at, 1>
<the, 1>
<treat, 1>
<Beth, 1>
<ate, 1>
<no, 1>
<more, 1>
<but, 1>
<crept, 1>
<away, 1>
<to, 1>
<sit, 1>
<in, 1>
<her, 1>
<shadowy, 1>
<corner, 1>
<and, 1>
<brood, 1>
<over, 1>
<the, 1>
<delight, 1>
<to, 1>
<come, 1>
<till, 1>
<the, 1>
<others, 1>
<were, 1>
<ready, 1>
<I, 1>
<think, 1>
<it, 1>
<was, 1>
<so, 1>
<splendid, 1>
<in, 1>
<Father, 1>
<to, 1>
<go, 1>
<as, 1>
<chaplain, 1>
<when, 1>
<he, 1>
<was, 1>
<too, 1>
<old, 1>
<to, 1>
<be, 1>
<drafted, 1>
<and, 1>
<not, 1>
<strong, 1>
<enough, 1>
<for, 1>
<a, 1>
<soldier, 1>
<said, 1>
<Meg, 1>
<warmly, 1>
<Don, 1>
<t, 1>
<I, 1>
<wish, 1>
<I, 1>
<could, 1>
<go, 1>
<as, 1>
<a, 1>
<drummer, 1>
<a, 1>
<vivan, 1>
<what, 1>
<s, 1>
<its, 1>
<name, 1>
<Or, 1>
<a, 1>
<nurse, 1>
<so, 1>
<I, 1>
<could, 1>
<be, 1>
<near, 1>
<him, 1>
<and, 1>
<help, 1>
<him, 1>
<exclaimed, 1>
<Jo, 1>
<with, 1>
<a, 1>
<groan, 1>
<It, 1>
<must, 1>
<be, 1>
<very, 1>
<disagreeable, 1>
<to, 1>
<sleep, 1>
<in, 1>
<a, 1>
<tent, 1>
<and, 1>
<eat, 1>
<all, 1>
<sorts, 1>
<of, 1>
<bad, 1>
<tasting, 1>
<things, 1>
<and, 1>
<drink, 1>
<out, 1>
<of, 1>
<a, 1>
<tin, 1>
<mug, 1>
<sighed, 1>
<Amy, 1>
<When, 1>
<will, 1>
<he, 1>
<come, 1>
<home, 1>
<Marmee, 1>
<asked, 1>
<Beth, 1>
<with, 1>
<a, 1>
<little, 1>
<quiver, 1>
<in, 1>
<her, 1>
<voice, 1>
<Not, 1>
<for, 1>
<many, 1>
<months, 1>
<dear, 1>
<unless, 1>
<he, 1>
<is, 1>
<sick, 1>
<He, 1>
<will, 1>
<stay, 1>
<and, 1>
<do, 1>
<his, 1>
<work, 1>
<faithfully, 1>
<as, 1>
<long, 1>
<as, 1>
<he, 1>
<can, 1>
<and, 1>
<we, 1>
<won, 1>
<t, 1>
<ask, 1>
<for, 1>
<him, 1>
<back, 1>
<a, 1>
<minute, 1>
<sooner, 1>
<than, 1>
<he, 1>
<can, 1>
<be, 1>
<spared, 1>
<Now, 1>
<come, 1>
<and, 1>
<hear, 1>
<the, 1>
<letter, 1>
<They, 1>
<all, 1>
<drew, 1>
<to, 1>
<the, 1>
<fire, 1>
<Mother, 1>
<in, 1>
<the, 1>
<big, 1>
<chair, 1>
<with, 1>
<Beth, 1>
<at, 1>
<her, 1>
<feet, 1>
<Meg, 1>
<and, 1>
<Amy, 1>
<perched, 1>
<on, 1>
<either, 1>
<arm, 1>
<of, 1>
<the, 1>
<chair, 1>
<and, 1>
<Jo, 1>
<leaning, 1>
<on, 1>
<the, 1>
<back, 1>
<where, 1>
<no, 1>
<one, 1>
<would, 1>
<see, 1>
<any, 1>
<sign, 1>
<of, 1>
<emotion, 1>
<if, 1>
<the, 1>
<letter, 1>
<should, 1>
<happen, 1>
<to, 1>
<be, 1>
<touching, 1>
<Very, 1>
<few, 1>
<letters, 1>
<were, 1>
<written, 1>
<in, 1>
<those, 1>
<hard, 1>
<times, 1>
<that, 1>
<were, 1>
<not, 1>
<touching, 1>
<especially, 1>
<those, 1>
<which, 1>
<fathers, 1>
<sent, 1>
<home, 1>
<In, 1>
<this, 1>
<one, 1>
<little, 1>
<was, 1>
<said, 1>
<of, 1>
<the, 1>
<hardships, 1>
<endured, 1>
<the, 1>
<dangers, 1>
<faced, 1>
<or, 1>
<the, 1>
<homesickness, 1>
<conquered, 1>
<It, 1>
<was, 1>
<a, 1>
<cheerful, 1>
<hopeful, 1>
<letter, 1>
<full, 1>
<of, 1>
<lively, 1>
<descriptions, 1>
<of, 1>
<camp, 1>
<life, 1>
<marches, 1>
<and, 1>
<military, 1>
<news, 1>
<and, 1>
<only, 1>
<at, 1>
<the, 1>
<end, 1>
<did, 1>
<the, 1>
<writer, 1>
<s, 1>
<heart, 1>
<over, 1>
<flow, 1>
<with, 1>
<fatherly, 1>
<love, 1>
<and, 1>
<longing, 1>
<for, 1>
<the, 1>
<little, 1>
<girls, 1>
<at, 1>
<home, 1>
<Give, 1>
<them, 1>
<all, 1>
<of, 1>
<my, 1>
<dear, 1>
<love, 1>
<and, 1>
<a, 1>
<kiss, 1>
<Tell, 1>
<them, 1>
<I, 1>
<think, 1>
<of, 1>
<them, 1>
<by, 1>
<day, 1>
<pray, 1>
<for, 1>
<them, 1>
<by, 1>
<night, 1>
<and, 1>
<find, 1>
<my, 1>
<best, 1>
<comfort, 1>
<in, 1>
<their, 1>
<affection, 1>
<at, 1>
<all, 1>
<times, 1>
<A, 1>
<year, 1>
<seems, 1>
<very, 1>
<long, 1>
<to, 1>
<wait, 1>
<before, 1>
<I, 1>
<see, 1>
<them, 1>
<but, 1>
<remind, 1>
<them, 1>
<that, 1>
<while, 1>
<we, 1>
<wait, 1>
<we, 1>
<may, 1>
<all, 1>
<work, 1>
<so, 1>
