<teroom, 1>
<pervaded, 1>
<the, 1>
<hall, 1>
<with, 1>
<one, 1>
<under, 1>
<each, 1>
<arm, 1>
<The, 1>
<other, 1>
<gentlemen, 1>
<speculated, 1>
<with, 1>
<equal, 1>
<rashness, 1>
<in, 1>
<all, 1>
<sorts, 1>
<of, 1>
<frail, 1>
<trifles, 1>
<and, 1>
<wandered, 1>
<helplessly, 1>
<about, 1>
<afterward, 1>
<burdened, 1>
<with, 1>
<wax, 1>
<flowers, 1>
<painted, 1>
<fans, 1>
<filigree, 1>
<portfolios, 1>
<and, 1>
<other, 1>
<useful, 1>
<and, 1>
<appropriate, 1>
<purchases, 1>
<Aunt, 1>
<Carrol, 1>
<was, 1>
<there, 1>
<heard, 1>
<the, 1>
<story, 1>
<looked, 1>
<pleased, 1>
<and, 1>
<said, 1>
<something, 1>
<to, 1>
<Mrs, 1>
<March, 1>
<in, 1>
<a, 1>
<corner, 1>
<which, 1>
<made, 1>
<the, 1>
<latter, 1>
<lady, 1>
<beam, 1>
<with, 1>
<satisfaction, 1>
<and, 1>
<watch, 1>
<Amy, 1>
<with, 1>
<a, 1>
<face, 1>
<full, 1>
<of, 1>
<mingled, 1>
<pride, 1>
<and, 1>
<anxiety, 1>
<though, 1>
<she, 1>
<did, 1>
<not, 1>
<betray, 1>
<the, 1>
<cause, 1>
<of, 1>
<her, 1>
<pleasure, 1>
<till, 1>
<several, 1>
<days, 1>
<later, 1>
<The, 1>
<fair, 1>
<was, 1>
<pronounced, 1>
<a, 1>
<success, 1>
<and, 1>
<when, 1>
<May, 1>
<bade, 1>
<Amy, 1>
<goodnight, 1>
<she, 1>
<did, 1>
<not, 1>
<gush, 1>
<as, 1>
<usual, 1>
<but, 1>
<gave, 1>
<her, 1>
<an, 1>
<affectionate, 1>
<kiss, 1>
<and, 1>
<a, 1>
<look, 1>
<which, 1>
<said, 1>
<forgive, 1>
<and, 1>
<forget, 1>
<That, 1>
<satisfied, 1>
<Amy, 1>
<and, 1>
<when, 1>
<she, 1>
<got, 1>
<home, 1>
<she, 1>
<found, 1>
<the, 1>
<vases, 1>
<paraded, 1>
<on, 1>
<the, 1>
<parlor, 1>
<chimney, 1>
<piece, 1>
<with, 1>
<a, 1>
<great, 1>
<bouquet, 1>
<in, 1>
<each, 1>
<The, 1>
<reward, 1>
<of, 1>
<merit, 1>
<for, 1>
<a, 1>
<magnanimous, 1>
<March, 1>
<as, 1>
<Laurie, 1>
<announced, 1>
<with, 1>
<a, 1>
<flourish, 1>
<You, 1>
<ve, 1>
<a, 1>
<deal, 1>
<more, 1>
<principle, 1>
<and, 1>
<generosity, 1>
<and, 1>
<nobleness, 1>
<of, 1>
<character, 1>
<than, 1>
<I, 1>
<ever, 1>
<gave, 1>
<you, 1>
<credit, 1>
<for, 1>
<Amy, 1>
<You, 1>
<ve, 1>
<behaved, 1>
<sweetly, 1>
<and, 1>
<I, 1>
<respect, 1>
<you, 1>
<with, 1>
<all, 1>
<my, 1>
<heart, 1>
<said, 1>
<Jo, 1>
<warmly, 1>
<as, 1>
<they, 1>
<brushed, 1>
<their, 1>
<hair, 1>
<together, 1>
<late, 1>
<that, 1>
<night, 1>
<Yes, 1>
<we, 1>
<all, 1>
<do, 1>
<and, 1>
<love, 1>
<her, 1>
<for, 1>
<being, 1>
<so, 1>
<ready, 1>
<to, 1>
<forgive, 1>
<It, 1>
<must, 1>
<have, 1>
<been, 1>
<dreadfully, 1>
<hard, 1>
<after, 1>
<working, 1>
<so, 1>
<long, 1>
<and, 1>
<setting, 1>
<your, 1>
<heart, 1>
<on, 1>
<selling, 1>
<your, 1>
<own, 1>
<pretty, 1>
<things, 1>
<I, 1>
<don, 1>
<t, 1>
<believe, 1>
<I, 1>
<could, 1>
<have, 1>
<done, 1>
<it, 1>
<as, 1>
<kindly, 1>
<as, 1>
<you, 1>
<did, 1>
<added, 1>
<Beth, 1>
<from, 1>
<her, 1>
<pillow, 1>
<Why, 1>
<girls, 1>
<you, 1>
<needn, 1>
<t, 1>
<praise, 1>
<me, 1>
<so, 1>
<I, 1>
<only, 1>
<did, 1>
<as, 1>
<I, 1>
<d, 1>
<be, 1>
<done, 1>
<by, 1>
<You, 1>
<laugh, 1>
<at, 1>
<me, 1>
<when, 1>
<I, 1>
<say, 1>
<I, 1>
<want, 1>
<to, 1>
<be, 1>
<a, 1>
<lady, 1>
<but, 1>
<I, 1>
<mean, 1>
<a, 1>
<true, 1>
<gentlewoman, 1>
<in, 1>
<mind, 1>
<and, 1>
<manners, 1>
<and, 1>
<I, 1>
<try, 1>
<to, 1>
<do, 1>
<it, 1>
<as, 1>
<far, 1>
<as, 1>
<I, 1>
<know, 1>
<how, 1>
<I, 1>
<can, 1>
<t, 1>
<explain, 1>
<exactly, 1>
<but, 1>
<I, 1>
<want, 1>
<to, 1>
<be, 1>
<above, 1>
<the, 1>
<little, 1>
<meannesses, 1>
<and, 1>
<follies, 1>
<and, 1>
<faults, 1>
<that, 1>
<spoil, 1>
<so, 1>
<many, 1>
<women, 1>
<I, 1>
<m, 1>
<far, 1>
<from, 1>
<it, 1>
<now, 1>
<but, 1>
<I, 1>
<do, 1>
<my, 1>
<best, 1>
<and, 1>
<hope, 1>
<in, 1>
<time, 1>
<to, 1>
<be, 1>
<what, 1>
<Mother, 1>
<is, 1>
<Amy, 1>
<spoke, 1>
<earnestly, 1>
<and, 1>
<Jo, 1>
<said, 1>
<with, 1>
<a, 1>
<cordial, 1>
<hug, 1>
<I, 1>
<understand, 1>
<now, 1>
<what, 1>
<you, 1>
<mean, 1>
<and, 1>
<I, 1>
<ll, 1>
<never, 1>
<laugh, 1>
<at, 1>
<you, 1>
<again, 1>
<You, 1>
<are, 1>
<getting, 1>
<on, 1>
<faster, 1>
<than, 1>
<you, 1>
<think, 1>
<and, 1>
<I, 1>
<ll, 1>
<take, 1>
<lessons, 1>
<of, 1>
<you, 1>
<in, 1>
<true, 1>
<politeness, 1>
<for, 1>
<you, 1>
<ve, 1>
<learned, 1>
<the, 1>
<secret, 1>
<I, 1>
<believe, 1>
<Try, 1>
<away, 1>
<deary, 1>
<you, 1>
<ll, 1>
<get, 1>
<your, 1>
<reward, 1>
<some, 1>
<day, 1>
<and, 1>
<no, 1>
<one, 1>
<will, 1>
<be, 1>
<more, 1>
<delighted, 1>
<than, 1>
<I, 1>
<shall, 1>
<A, 1>
<week, 1>
<later, 1>
<Amy, 1>
<did, 1>
<get, 1>
<her, 1>
<reward, 1>
<and, 1>
<poor, 1>
<Jo, 1>
<found, 1>
<it, 1>
<hard, 1>
<to, 1>
<be, 1>
<delighted, 1>
<A, 1>
<letter, 1>
<came, 1>
<from, 1>
<Aunt, 1>
<Carrol, 1>
<and, 1>
<Mrs, 1>
<March, 1>
<s, 1>
<face, 1>
<was, 1>
<illuminated, 1>
<to, 1>
<such, 1>
<a, 1>
<degree, 1>
<when, 1>
<she, 1>
<read, 1>
<it, 1>
<that, 1>
<Jo, 1>
<and, 1>
<Beth, 1>
<who, 1>
<were, 1>
<with, 1>
<her, 1>
<demanded, 1>
<what, 1>
<the, 1>
<glad, 1>
<tidings, 1>
<were, 1>
<Aunt, 1>
<Carrol, 1>
<is, 1>
<going, 1>
<abroad, 1>
<next, 1>
<month, 1>
<and, 1>
<wants, 1>
<Me, 1>
<to, 1>
<go, 1>
<with, 1>
<her, 1>
<burst, 1>
<in, 1>
<Jo, 1>
<flying, 1>
<out, 1>
<of, 1>
<her, 1>
<chair, 1>
<in, 1>
<an, 1>
<uncontrollable, 1>
<rapture, 1>
<No, 1>
<dear, 1>
<not, 1>
<you, 1>
<It, 1>
<s, 1>
<Amy, 1>
<Oh, 1>
<Mother, 1>
<She, 1>
<s, 1>
<too, 1>
<young, 1>
<it, 1>
<s, 1>
<my, 1>
<turn, 1>
<first, 1>
<I, 1>
<ve, 1>
<wanted, 1>
<it, 1>
<so, 1>
<long, 1>
<It, 1>
<would, 1>
<do, 1>
<me, 1>
<so, 1>
<much, 1>
<good, 1>
<and, 1>
<be, 1>
<so, 1>
<altogether, 1>
<splendid, 1>
<I, 1>
<must, 1>
<go, 1>
<I, 1>
<m, 1>
<afraid, 1>
<it, 1>
<s, 1>
<impossible, 1>
<Jo, 1>
<Aunt, 1>
<says, 1>
<Amy, 1>
<decidedly, 1>
<and, 1>
<it, 1>
<is, 1>
<not, 1>
<for, 1>
<us, 1>
<to, 1>
<dictate, 1>
<when, 1>
<she, 1>
<offers, 1>
<such, 1>
<a, 1>
<favor, 1>
<It, 1>
<s, 1>
<always, 1>
<so, 1>
<Amy, 1>
<has, 1>
<all, 1>
<the, 1>
<fun, 1>
<and, 1>
<I, 1>
<have, 1>
<all, 1>
<the, 1>
<work, 1>
<It, 1>
<isn, 1>
<t, 1>
<fair, 1>
<oh, 1>
<it, 1>
<isn, 1>
<t, 1>
<fair, 1>
<cried, 1>
<Jo, 1>
<passionately, 1>
<I, 1>
<m, 1>
<afraid, 1>
<it, 1>
<s, 1>
<partly, 1>
<your, 1>
<own, 1>
<fault, 1>
<dear, 1>
<When, 1>
<Aunt, 1>
<spoke, 1>
<to, 1>
<me, 1>
<the, 1>
<other, 1>
<day, 1>
<she, 1>
<regretted, 1>
<your, 1>
<blunt, 1>
<manners, 1>
<and, 1>
<too, 1>
<independent, 1>
<spirit, 1>
<and, 1>
<here, 1>
<she, 1>
<writes, 1>
<as, 1>
<if, 1>
<quoting, 1>
<something, 1>
<you, 1>
<had, 1>
<said, 1>
<I, 1>
<planned, 1>
<at, 1>
<first, 1>
<to, 1>
<ask, 1>
<Jo, 1>
<but, 1>
<as, 1>
<favors, 1>
<burden, 1>
<her, 1>
<and, 1>
<she, 1>
<hates, 1>
<French, 1>
<I, 1>
<think, 1>
<I, 1>
<won, 1>
<t, 1>
<venture, 1>
<to, 1>
<invite, 1>
<her, 1>
<Amy, 1>
<is, 1>
<more, 1>
<docile, 1>
<will, 1>
<make, 1>
<a, 1>
<good, 1>
<companion, 1>
<for, 1>
<Flo, 1>
<and, 1>
<receive, 1>
<gratefully, 1>
<any, 1>
<help, 1>
<the, 1>
<trip, 1>
<may, 1>
<give, 1>
<her, 1>
<Oh, 1>
<my, 1>
<tongue, 1>
<my, 1>
<abominable, 1>
<tongue, 1>
<Why, 1>
<can, 1>
<t, 1>
<I, 1>
<learn, 1>
<to, 1>
<keep, 1>
<it, 1>
<quiet, 1>
<groaned, 1>
<Jo, 1>
<remembering, 1>
<words, 1>
<which, 1>
<had, 1>
<been, 1>
<her, 1>
<undoing, 1>
<When, 1>
<she, 1>
<had, 1>
<heard, 1>
<the, 1>
<explanation, 1>
<of, 1>
<the, 1>
<quoted, 1>
<phrases, 1>
<Mrs, 1>
<March, 1>
<said, 1>
<sorrowfully, 1>
<I, 1>
<wish, 1>
<you, 1>
<could, 1>
<have, 1>
<gone, 1>
<but, 1>
<there, 1>
<is, 1>
<no, 1>
<hope, 1>
<of, 1>
<it, 1>
<this, 1>
<time, 1>
<so, 1>
<try, 1>
<to, 1>
<bear, 1>
<it, 1>
<cheerfully, 1>
<and, 1>
<don, 1>
<t, 1>
<sadden, 1>
<Amy, 1>
<s, 1>
<pleasure, 1>
<by, 1>
<reproaches, 1>
<or, 1>
<regrets, 1>
<I, 1>
<ll, 1>
<try, 1>
<said, 1>
<Jo, 1>
<winking, 1>
<hard, 1>
<as, 1>
<she, 1>
<knelt, 1>
<down, 1>
<to, 1>
<pick, 1>
<up, 1>
<the, 1>
<basket, 1>
<she, 1>
<had, 1>
<joyfully, 1>
<upset, 1>
<I, 1>
<ll, 1>
<take, 1>
<a, 1>
<leaf, 1>
<out, 1>
<of, 1>
<her, 1>
<book, 1>
<and, 1>
<try, 1>
<not, 1>
<only, 1>
<to, 1>
<seem, 1>
<glad, 1>
<but, 1>
<to, 1>
<be, 1>
<so, 1>
<and, 1>
<not, 1>
<grudge, 1>
<her, 1>
<one, 1>
<minute, 1>
<of, 1>
<happiness, 1>
<But, 1>
<it, 1>
<won, 1>
<t, 1>
<be, 1>
<easy, 1>
<for, 1>
<it, 1>
<is, 1>
<a, 1>
<dreadful, 1>
<disappointment, 1>
<and, 1>
<poor, 1>
<Jo, 1>
<bedewed, 1>
<the, 1>
<little, 1>
<fat, 1>
<pincushion, 1>
<she, 1>
<held, 1>
<with, 1>
<several, 1>
<very, 1>
<bitter, 1>
<tears, 1>
<Jo, 1>
<dear, 1>
<I, 1>
<m, 1>
<very, 1>
<selfish, 1>
<but, 1>
<I, 1>
<couldn, 1>
<t, 1>
<spare, 1>
<you, 1>
<and, 1>
<I, 1>
<m, 1>
<glad, 1>
<you, 1>
<are, 1>
<not, 1>
<going, 1>
<quite, 1>
<yet, 1>
<whispered, 1>
<Beth, 1>
<embracing, 1>
<her, 1>
<basket, 1>
<and, 1>
<all, 1>
<with, 1>
<such, 1>
<a, 1>
<clinging, 1>
<touch, 1>
<and, 1>
<loving, 1>
<face, 1>
<that, 1>
<Jo, 1>
<felt, 1>
<comforted, 1>
<in, 1>
<spite, 1>
<of, 1>
<the, 1>
<sharp, 1>
<regret, 1>
<that, 1>
<made, 1>
<her, 1>
<want, 1>
<to, 1>
<box, 1>
<her, 1>
<own, 1>
<ears, 1>
<and, 1>
<humbly, 1>
<beg, 1>
<Aunt, 1>
<Carrol, 1>
<to, 1>
<burden, 1>
<her, 1>
<with, 1>
<this, 1>
<favor, 1>
<and, 1>
<see, 1>
<how, 1>
<gratefully, 1>
<she, 1>
<would, 1>
<bear, 1>
<it, 1>
<By, 1>
<the, 1>
<time, 1>
<Amy, 1>
<came, 1>
<in, 1>
<Jo, 1>
<was, 1>
<able, 1>
<to, 1>
<take, 1>
<her, 1>
<part, 1>
<in, 1>
<the, 1>
<family, 1>
<jubilation, 1>
<not, 1>
<quite, 1>
<as, 1>
<heartily, 1>
<as, 1>
<usual, 1>
<perhaps, 1>
<but, 1>
<without, 1>
<repinings, 1>
<at, 1>
<Amy, 1>
<s, 1>
<good, 1>
<fortune, 1>
<The, 1>
<young, 1>
<lady, 1>
<herself, 1>
<received, 1>
<the, 1>
<news, 1>
<as, 1>
<tidings, 1>
<of, 1>
<great, 1>
<joy, 1>
<went, 1>
<about, 1>
<in, 1>
<a, 1>
<solemn, 1>
<sort, 1>
<of, 1>
<rapture, 1>
<and, 1>
<began, 1>
<to, 1>
<sort, 1>
<her, 1>
<colors, 1>
<and, 1>
<pack, 1>
<her, 1>
<pencils, 1>
<that, 1>
<evening, 1>
<leaving, 1>
<such, 1>
<trifles, 1>
<as, 1>
<clothes, 1>
<money, 1>
<and, 1>
<passports, 1>
<to, 1>
<those, 1>
<less, 1>
<absorbed, 1>
<in, 1>
<visions, 1>
<of, 1>
<art, 1>
<than, 1>
<herself, 1>
<It, 1>
<isn, 1>
<t, 1>
<a, 1>
<mere, 1>
<pleasure, 1>
<trip, 1>
<to, 1>
<me, 1>
<girls, 1>
<she, 1>
<said, 1>
<impressively, 1>
<as, 1>
<she, 1>
<scraped, 1>
<her, 1>
<best, 1>
<palette, 1>
<It, 1>
<will, 1>
<decide, 1>
<my, 1>
<career, 1>
<for, 1>
<if, 1>
<I, 1>
<have, 1>
<any, 1>
<genius, 1>
<I, 1>
<shall, 1>
<find, 1>
<it, 1>
<out, 1>
<in, 1>
<Rome, 1>
<and, 1>
<will, 1>
<do, 1>
<something, 1>
<to, 1>
<prove, 1>
<it, 1>
<Suppose, 1>
<you, 1>
<haven, 1>
<t, 1>
<said, 1>
<Jo, 1>
<sewing, 1>
<away, 1>
<with, 1>
<red, 1>
<eyes, 1>
<at, 1>
<the, 1>
<new, 1>
<collars, 1>
<which, 1>
<were, 1>
<to, 1>
<be, 1>
<handed, 1>
<over, 1>
<to, 1>
<Amy, 1>
<Then, 1>
<I, 1>
<shall, 1>
<come, 1>
<home, 1>
<and, 1>
<teach, 1>
<drawing, 1>
<for, 1>
<my, 1>
<living, 1>
<replied, 1>
<the, 1>
<aspirant, 1>
<for, 1>
<fame, 1>
<with, 1>
<philosophic, 1>
<composure, 1>
<But, 1>
<she, 1>
<made, 1>
<a, 1>
<wry, 1>
<face, 1>
<at, 1>
<the, 1>
<prospect, 1>
<and, 1>
<scratched, 1>
<away, 1>
<at, 1>
<her, 1>
<palette, 1>
<as, 1>
<if, 1>
<bent, 1>
<on, 1>
<vigorous, 1>
<measures, 1>
<before, 1>
<she, 1>
<gave, 1>
<up, 1>
<her, 1>
<hopes, 1>
<No, 1>
<you, 1>
<won, 1>
<t, 1>
<You, 1>
<hate, 1>
<hard, 1>
<work, 1>
<and, 1>
<you, 1>
<ll, 1>
<marry, 1>
<some, 1>
<rich, 1>
<man, 1>
<and, 1>
<come, 1>
<home, 1>
<to, 1>
<sit, 1>
<in, 1>
<the, 1>
<lap, 1>
<of, 1>
<luxury, 1>
<all, 1>
<your, 1>
<days, 1>
<said, 1>
<Jo, 1>
<Your, 1>
<predictions, 1>
<sometimes, 1>
<come, 1>
<to, 1>
<pass, 1>
<but, 1>
<I, 1>
<don, 1>
<t, 1>
<believe, 1>
<that, 1>
<one, 1>
<will, 1>
<I, 1>
<m, 1>
<sure, 1>
<I, 1>
<wish, 1>
<it, 1>
<would, 1>
<for, 1>
<if, 1>
<I, 1>
<can, 1>
<t, 1>
<be, 1>
<an, 1>
<artist, 1>
<myself, 1>
<I, 1>
<should, 1>
<like, 1>
<to, 1>
<be, 1>
<able, 1>
<to, 1>
<help, 1>
<those, 1>
<who, 1>
<are, 1>
<said, 1>
<Amy, 1>
<smiling, 1>
<as, 1>
<if, 1>
<the, 1>
<part, 1>
<of, 1>
<Lady, 1>
<Bountiful, 1>
<would, 1>
<suit, 1>
<her, 1>
<better, 1>
<than, 1>
<that, 1>
<of, 1>
<a, 1>
<poor, 1>
<drawing, 1>
<teacher, 1>
<Hum, 1>
<said, 1>
<Jo, 1>
<with, 1>
<a, 1>
<sigh, 1>
<If, 1>
<you, 1>
<wish, 1>
<it, 1>
<you, 1>
<ll, 1>
<have, 1>
<it, 1>
<for, 1>
<your, 1>
<wishes, 1>
<are, 1>
<always, 1>
<granted, 1>
<mine, 1>
<never, 1>
<Would, 1>
<you, 1>
<like, 1>
<to, 1>
<go, 1>
<asked, 1>
<Amy, 1>
<thoughtfully, 1>
<patting, 1>
<her, 1>
<nose, 1>
<with, 1>
<her, 1>
<knife, 1>
<Rather, 1>
<Well, 1>
<in, 1>
<a, 1>
<year, 1>
<or, 1>
<two, 1>
<I, 1>
<ll, 1>
<send, 1>
<for, 1>
<you, 1>
<and, 1>
<we, 1>
<ll, 1>
<dig, 1>
<in, 1>
<the, 1>
<Forum, 1>
<for, 1>
<relics, 1>
<and, 1>
<carry, 1>
<out, 1>
<all, 1>
<the, 1>
<plans, 1>
<we, 1>
<ve, 1>
<made, 1>
<so, 1>
<many, 1>
<times, 1>
<Thank, 1>
<you, 1>
<I, 1>
<ll, 1>
<remind, 1>
<you, 1>
<of, 1>
<your, 1>
<promise, 1>
<when, 1>
<that, 1>
<joyful, 1>
<day, 1>
<comes, 1>
<if, 1>
<it, 1>
<ever, 1>
<does, 1>
<returned, 1>
<Jo, 1>
<accepting, 1>
<the, 1>
<vague, 1>
<but, 1>
<magnificent, 1>
<offer, 1>
<as, 1>
<gratefully, 1>
<as, 1>
<she, 1>
<could, 1>
<There, 1>
<was, 1>
<not, 1>
<much, 1>
<time, 1>
<for, 1>
<preparation, 1>
<and, 1>
<the, 1>
<house, 1>
<was, 1>
<in, 1>
<a, 1>
<ferment, 1>
<till, 1>
<Amy, 1>
<was, 1>
<off, 1>
<Jo, 1>
<bore, 1>
<up, 1>
<very, 1>
<well, 1>
<till, 1>
<the, 1>
<last, 1>
<flutter, 1>
<of, 1>
<blue, 1>
<ribbon, 1>
<vanished, 1>
<when, 1>
<she, 1>
<retired, 1>
<to, 1>
<her, 1>
<refuge, 1>
<the, 1>
<garret, 1>
<and, 1>
<cried, 1>
<till, 1>
<she, 1>
<couldn, 1>
<t, 1>
<cry, 1>
<any, 1>
<more, 1>
<Amy, 1>
<likewise, 1>
<bore, 1>
<up, 1>
<stoutly, 1>
<till, 1>
<the, 1>
<steamer, 1>
<sailed, 1>
<Then, 1>
<just, 1>
<as, 1>
<the, 1>
<gangway, 1>
<was, 1>
<about, 1>
<to, 1>
<be, 1>
<withdrawn, 1>
<it, 1>
<suddenly, 1>
<came, 1>
<over, 1>
<her, 1>
<that, 1>
<a, 1>
<whole, 1>
<ocean, 1>
<was, 1>
<soon, 1>
<to, 1>
<roll, 1>
<between, 1>
<her, 1>
<and, 1>
<those, 1>
<who, 1>
<loved, 1>
<her, 1>
<best, 1>
<and, 1>
<she, 1>
<clung, 1>
<to, 1>
<Laurie, 1>
<the, 1>
<last, 1>
<lingerer, 1>
<saying, 1>
<with, 1>
<a, 1>
<sob, 1>
<Oh, 1>
<take, 1>
<care, 1>
<of, 1>
<them, 1>
<for, 1>
<me, 1>
<and, 1>
<if, 1>
<anything, 1>
<should, 1>
<happen, 1>
<I, 1>
<will, 1>
<dear, 1>
<I, 1>
<will, 1>
<and, 1>
<if, 1>
<anything, 1>
<happens, 1>
<I, 1>
<ll, 1>
<come, 1>
<and, 1>
<comfort, 1>
<you, 1>
<whispered, 1>
<Laurie, 1>
<little, 1>
<dreaming, 1>
<that, 1>
<he, 1>
<would, 1>
<be, 1>
<called, 1>
<upon, 1>
<to, 1>
<keep, 1>
<his, 1>
<word, 1>
<So, 1>
<Amy, 1>
<sailed, 1>
<away, 1>
<to, 1>
<find, 1>
<the, 1>
<Old, 1>
<World, 1>
<which, 1>
<is, 1>
<always, 1>
<new, 1>
<and, 1>
<beautiful, 1>
<to, 1>
<young, 1>
<eyes, 1>
<while, 1>
<her, 1>
<father, 1>
<and, 1>
<friend, 1>
<watched, 1>
<her, 1>
<from, 1>
<the, 1>
<shore, 1>
<fervently, 1>
<hoping, 1>
<that, 1>
<none, 1>
<but, 1>
<gentle, 1>
<fortunes, 1>
<would, 1>
<befall, 1>
<the, 1>
<happy, 1>
<hearted, 1>
<girl, 1>
<who, 1>
<waved, 1>
<her, 1>
<hand, 1>
<to, 1>
<them, 1>
<till, 1>
<they, 1>
<could, 1>
<see, 1>
<nothing, 1>
<but, 1>
<the, 1>
<summer, 1>
<sunshine, 1>
<dazzling, 1>
<on, 1>
<the, 1>
<sea, 1>
<CHAPTER, 1>
<THIRTY, 1>
<ONE, 1>
<OUR, 1>
<FOREIGN, 1>
<CORRESPONDENT, 1>
<London, 1>
<Dearest, 1>
<People, 1>
<Here, 1>
<I, 1>
<really, 1>
<sit, 1>
<at, 1>
<a, 1>
<front, 1>
<window, 1>
<of, 1>
<the, 1>
<Bath, 1>
<Hotel, 1>
<Piccadilly, 1>
<It, 1>
<s, 1>
<not, 1>
<a, 1>
<fashionable, 1>
<place, 1>
<but, 1>
<Uncle, 1>
<stopped, 1>
<here, 1>
<years, 1>
<ago, 1>
<and, 1>
<won, 1>
<t, 1>
<go, 1>
<anywhere, 1>
<else, 1>
<However, 1>
<we, 1>
<don, 1>
<t, 1>
<mean, 1>
<to, 1>
<stay, 1>
<long, 1>
<so, 1>
<it, 1>
<s, 1>
<no, 1>
<great, 1>
<matter, 1>
<Oh, 1>
<I, 1>
<can, 1>
<t, 1>
<begin, 1>
<to, 1>
<tell, 1>
<you, 1>
<how, 1>
<I, 1>
<enjoy, 1>
<it, 1>
<all, 1>
<I, 1>
<never, 1>
<can, 1>
<so, 1>
<I, 1>
<ll, 1>
<only, 1>
<give, 1>
<you, 1>
<bits, 1>
<out, 1>
<of, 1>
<my, 1>
<notebook, 1>
<for, 1>
<I, 1>
<ve, 1>
<done, 1>
<nothing, 1>
<but, 1>
<sketch, 1>
<and, 1>
<scribble, 1>
<since, 1>
<I, 1>
<started, 1>
<I, 1>
<sent, 1>
<a, 1>
<line, 1>
<from, 1>
<Halifax, 1>
<when, 1>
<I, 1>
<felt, 1>
<pretty, 1>
<miserable, 1>
<but, 1>
<after, 1>
<that, 1>
<I, 1>
<got, 1>
<on, 1>
<delightfully, 1>
<seldom, 1>
<ill, 1>
<on, 1>
<deck, 1>
<all, 1>
<day, 1>
<with, 1>
<plenty, 1>
<of, 1>
<pleasant, 1>
<people, 1>
<to, 1>
<amuse, 1>
<me, 1>
<Everyone, 1>
<was, 1>
<very, 1>
<kind, 1>
<to, 1>
<me, 1>
<especially, 1>
<the, 1>
<officers, 1>
<Don, 1>
<t, 1>
<laugh, 1>
<Jo, 1>
<gentlemen, 1>
<really, 1>
<are, 1>
<very, 1>
<necessary, 1>
<aboard, 1>
<ship, 1>
<to, 1>
<hold, 1>
<on, 1>
<to, 1>
<or, 1>
<to, 1>
<wait, 1>
<upon, 1>
<one, 1>
<and, 1>
<as, 1>
<they, 1>
<have, 1>
<nothing, 1>
<to, 1>
<do, 1>
<it, 1>
<s, 1>
<a, 1>
<mercy, 1>
<to, 1>
<make, 1>
<them, 1>
<useful, 1>
<otherwise, 1>
<they, 1>
<would, 1>
<smoke, 1>
<themselves, 1>
<to, 1>
<death, 1>
<I, 1>
<m, 1>
<afraid, 1>
<Aunt, 1>
<and, 1>
<Flo, 1>
<were, 1>
<poorly, 1>
<all, 1>
<the, 1>
<way, 1>
<and, 1>
<liked, 1>
<to, 1>
<be, 1>
<let, 1>
<alone, 1>
<so, 1>
<when, 1>
<I, 1>
<had, 1>
<done, 1>
<what, 1>
<I, 1>
<could, 1>
<for, 1>
<them, 1>
<I, 1>
<went, 1>
<and, 1>
<enjoyed, 1>
<myself, 1>
<Such, 1>
<walks, 1>
<on, 1>
<deck, 1>
<such, 1>
<sunsets, 1>
<such, 1>
<splendid, 1>
<air, 1>
<and, 1>
<waves, 1>
<It, 1>
<was, 1>
<almost, 1>
<as, 1>
<exciting, 1>
<as, 1>
<riding, 1>
<a, 1>
<fast, 1>
<horse, 1>
<when, 1>
<we, 1>
<went, 1>
<rushing, 1>
<on, 1>
<so, 1>
<grandly, 1>
<I, 1>
<wish, 1>
<Beth, 1>
<could, 1>
<have, 1>
<come, 1>
<it, 1>
<would, 1>
<have, 1>
<done, 1>
<her, 1>
<so, 1>
<much, 1>
<good, 1>
<As, 1>
<for, 1>
<Jo, 1>
<she, 1>
<would, 1>
<have, 1>
<gone, 1>
<up, 1>
<and, 1>
<sat, 1>
<on, 1>
<the, 1>
<maintop, 1>
<jib, 1>
<or, 1>
<whatever, 1>
<the, 1>
<high, 1>
<thing, 1>
<is, 1>
<called, 1>
<made, 1>
<friends, 1>
<with, 1>
<the, 1>
<engineers, 1>
<and, 1>
<tooted, 1>
<on, 1>
<the, 1>
<captain, 1>
<s, 1>
<speaking, 1>
<trumpet, 1>
<she, 1>
<d, 1>
<have, 1>
<been, 1>
<in, 1>
<such, 1>
<a, 1>
<state, 1>
<of, 1>
<rapture, 1>
<It, 1>
<was, 1>
<all, 1>
<heavenly, 1>
<but, 1>
<I, 1>
<was, 1>
<glad, 1>
<to, 1>
<see, 1>
<the, 1>
<Irish, 1>
<coast, 1>
<and, 1>
<found, 1>
<it, 1>
<very, 1>
<lovely, 1>
<so, 1>
<green, 1>
<and, 1>
<sunny, 1>
<with, 1>
<brown, 1>
<cabins, 1>
<here, 1>
<and, 1>
<there, 1>
<ruins, 1>
<on, 1>
<some, 1>
<of, 1>
<the, 1>
<hills, 1>
<and, 1>
<gentlemen, 1>
<s, 1>
<countryseats, 1>
<in, 1>
<the, 1>
<valleys, 1>
<with, 1>
<deer, 1>
<feeding, 1>
<in, 1>
<the, 1>
<parks, 1>
<It, 1>
<was, 1>
<early, 1>
<in, 1>
<the, 1>
<morning, 1>
<but, 1>
<I, 1>
<didn, 1>
<t, 1>
<regret, 1>
<getting, 1>
<up, 1>
<to, 1>
<see, 1>
<it, 1>
<for, 1>
<the, 1>
<bay, 1>
