<latest, 1>
<them, 1>
<on, 1>
<such, 1>
<occasions, 1>
<and, 1>
<following, 1>
<the, 1>
<sensible, 1>
<English, 1>
<fashion, 1>
<of, 1>
<simple, 1>
<dress, 1>
<for, 1>
<young, 1>
<girls, 1>
<got, 1>
<up, 1>
<charming, 1>
<little, 1>
<toilettes, 1>
<with, 1>
<fresh, 1>
<flowers, 1>
<a, 1>
<few, 1>
<trinkets, 1>
<and, 1>
<all, 1>
<manner, 1>
<of, 1>
<dainty, 1>
<devices, 1>
<which, 1>
<were, 1>
<both, 1>
<inexpensive, 1>
<and, 1>
<effective, 1>
<It, 1>
<must, 1>
<be, 1>
<confessed, 1>
<that, 1>
<the, 1>
<artist, 1>
<sometimes, 1>
<got, 1>
<possession, 1>
<of, 1>
<the, 1>
<woman, 1>
<and, 1>
<indulged, 1>
<in, 1>
<antique, 1>
<coiffures, 1>
<statuesque, 1>
<attitudes, 1>
<and, 1>
<classic, 1>
<draperies, 1>
<But, 1>
<dear, 1>
<heart, 1>
<we, 1>
<all, 1>
<have, 1>
<our, 1>
<little, 1>
<weaknesses, 1>
<and, 1>
<find, 1>
<it, 1>
<easy, 1>
<to, 1>
<pardon, 1>
<such, 1>
<in, 1>
<the, 1>
<young, 1>
<who, 1>
<satisfy, 1>
<our, 1>
<eyes, 1>
<with, 1>
<their, 1>
<comeliness, 1>
<and, 1>
<keep, 1>
<our, 1>
<hearts, 1>
<merry, 1>
<with, 1>
<their, 1>
<artless, 1>
<vanities, 1>
<I, 1>
<do, 1>
<want, 1>
<him, 1>
<to, 1>
<think, 1>
<I, 1>
<look, 1>
<well, 1>
<and, 1>
<tell, 1>
<them, 1>
<so, 1>
<at, 1>
<home, 1>
<said, 1>
<Amy, 1>
<to, 1>
<herself, 1>
<as, 1>
<she, 1>
<put, 1>
<on, 1>
<Flo, 1>
<s, 1>
<old, 1>
<white, 1>
<silk, 1>
<ball, 1>
<dress, 1>
<and, 1>
<covered, 1>
<it, 1>
<with, 1>
<a, 1>
<cloud, 1>
<of, 1>
<fresh, 1>
<illusion, 1>
<out, 1>
<of, 1>
<which, 1>
<her, 1>
<white, 1>
<shoulders, 1>
<and, 1>
<golden, 1>
<head, 1>
<emerged, 1>
<with, 1>
<a, 1>
<most, 1>
<artistic, 1>
<effect, 1>
<Her, 1>
<hair, 1>
<she, 1>
<had, 1>
<the, 1>
<sense, 1>
<to, 1>
<let, 1>
<alone, 1>
<after, 1>
<gathering, 1>
<up, 1>
<the, 1>
<thick, 1>
<waves, 1>
<and, 1>
<curls, 1>
<into, 1>
<a, 1>
<Hebe, 1>
<like, 1>
<knot, 1>
<at, 1>
<the, 1>
<back, 1>
<of, 1>
<her, 1>
<head, 1>
<It, 1>
<s, 1>
<not, 1>
<the, 1>
<fashion, 1>
<but, 1>
<it, 1>
<s, 1>
<becoming, 1>
<and, 1>
<I, 1>
<can, 1>
<t, 1>
<afford, 1>
<to, 1>
<make, 1>
<a, 1>
<fright, 1>
<of, 1>
<myself, 1>
<she, 1>
<used, 1>
<to, 1>
<say, 1>
<when, 1>
<advised, 1>
<to, 1>
<frizzle, 1>
<puff, 1>
<or, 1>
<braid, 1>
<as, 1>
<the, 1>
<latest, 1>
<style, 1>
<commanded, 1>
<Having, 1>
<no, 1>
<ornaments, 1>
<fine, 1>
<enough, 1>
<for, 1>
<this, 1>
<important, 1>
<occasion, 1>
<Amy, 1>
<looped, 1>
<her, 1>
<fleecy, 1>
<skirts, 1>
<with, 1>
<rosy, 1>
<clusters, 1>
<of, 1>
<azalea, 1>
<and, 1>
<framed, 1>
<the, 1>
<white, 1>
<shoulders, 1>
<in, 1>
<delicate, 1>
<green, 1>
<vines, 1>
<Remembering, 1>
<the, 1>
<painted, 1>
<boots, 1>
<she, 1>
<surveyed, 1>
<her, 1>
<white, 1>
<satin, 1>
<slippers, 1>
<with, 1>
<girlish, 1>
<satisfaction, 1>
<and, 1>
<chasseed, 1>
<down, 1>
<the, 1>
<room, 1>
<admiring, 1>
<her, 1>
<aristocratic, 1>
<feet, 1>
<all, 1>
<by, 1>
<herself, 1>
<My, 1>
<new, 1>
<fan, 1>
<just, 1>
<matches, 1>
<my, 1>
<flowers, 1>
<my, 1>
<gloves, 1>
<fit, 1>
<to, 1>
<a, 1>
<charm, 1>
<and, 1>
<the, 1>
<real, 1>
<lace, 1>
<on, 1>
<Aunt, 1>
<s, 1>
<mouchoir, 1>
<gives, 1>
<an, 1>
<air, 1>
<to, 1>
<my, 1>
<whole, 1>
<dress, 1>
<If, 1>
<I, 1>
<only, 1>
<had, 1>
<a, 1>
<classical, 1>
<nose, 1>
<and, 1>
<mouth, 1>
<I, 1>
<should, 1>
<be, 1>
<perfectly, 1>
<happy, 1>
<she, 1>
<said, 1>
<surveying, 1>
<herself, 1>
<with, 1>
<a, 1>
<critical, 1>
<eye, 1>
<and, 1>
<a, 1>
<candle, 1>
<in, 1>
<each, 1>
<hand, 1>
<In, 1>
<spite, 1>
<of, 1>
<this, 1>
<affliction, 1>
<she, 1>
<looked, 1>
<unusually, 1>
<gay, 1>
<and, 1>
<graceful, 1>
<as, 1>
<she, 1>
<glided, 1>
<away, 1>
<She, 1>
<seldom, 1>
<ran, 1>
<it, 1>
<did, 1>
<not, 1>
<suit, 1>
<her, 1>
<style, 1>
<she, 1>
<thought, 1>
<for, 1>
<being, 1>
<tall, 1>
<the, 1>
<stately, 1>
<and, 1>
<Junoesque, 1>
<was, 1>
<more, 1>
<appropriate, 1>
<than, 1>
<the, 1>
<sportive, 1>
<or, 1>
<piquante, 1>
<She, 1>
<walked, 1>
<up, 1>
<and, 1>
<down, 1>
<the, 1>
<long, 1>
<saloon, 1>
<while, 1>
<waiting, 1>
<for, 1>
<Laurie, 1>
<and, 1>
<once, 1>
<arranged, 1>
<herself, 1>
<under, 1>
<the, 1>
<chandelier, 1>
<which, 1>
<had, 1>
<a, 1>
<good, 1>
<effect, 1>
<upon, 1>
<her, 1>
<hair, 1>
<then, 1>
<she, 1>
<thought, 1>
<better, 1>
<of, 1>
<it, 1>
<and, 1>
<went, 1>
<away, 1>
<to, 1>
<the, 1>
<other, 1>
<end, 1>
<of, 1>
<the, 1>
<room, 1>
<as, 1>
<if, 1>
<ashamed, 1>
<of, 1>
<the, 1>
<girlish, 1>
<desire, 1>
<to, 1>
<have, 1>
<the, 1>
<first, 1>
<view, 1>
<a, 1>
<propitious, 1>
<one, 1>
<It, 1>
<so, 1>
<happened, 1>
<that, 1>
<she, 1>
<could, 1>
<not, 1>
<have, 1>
<done, 1>
<a, 1>
<better, 1>
<thing, 1>
<for, 1>
<Laurie, 1>
<came, 1>
<in, 1>
<so, 1>
<quietly, 1>
<she, 1>
<did, 1>
<not, 1>
<hear, 1>
<him, 1>
<and, 1>
<as, 1>
<she, 1>
<stood, 1>
<at, 1>
<the, 1>
<distant, 1>
<window, 1>
<with, 1>
<her, 1>
<head, 1>
<half, 1>
<turned, 1>
<and, 1>
<one, 1>
<hand, 1>
<gathering, 1>
<up, 1>
<her, 1>
<dress, 1>
<the, 1>
<slender, 1>
<white, 1>
<figure, 1>
<against, 1>
<the, 1>
<red, 1>
<curtains, 1>
<was, 1>
<as, 1>
<effective, 1>
<as, 1>
<a, 1>
<well, 1>
<placed, 1>
<statue, 1>
<Good, 1>
<evening, 1>
<Diana, 1>
<said, 1>
<Laurie, 1>
<with, 1>
<the, 1>
<look, 1>
<of, 1>
<satisfaction, 1>
<she, 1>
<liked, 1>
<to, 1>
<see, 1>
<in, 1>
<his, 1>
<eyes, 1>
<when, 1>
<they, 1>
<rested, 1>
<on, 1>
<her, 1>
<Good, 1>
<evening, 1>
<Apollo, 1>
<she, 1>
<answered, 1>
<smiling, 1>
<back, 1>
<at, 1>
<him, 1>
<for, 1>
<he, 1>
<too, 1>
<looked, 1>
<unusually, 1>
<debonair, 1>
<and, 1>
<the, 1>
<thought, 1>
<of, 1>
<entering, 1>
<the, 1>
<ballroom, 1>
<on, 1>
<the, 1>
<arm, 1>
<of, 1>
<such, 1>
<a, 1>
<personable, 1>
<man, 1>
<caused, 1>
<Amy, 1>
<to, 1>
<pity, 1>
<the, 1>
<four, 1>
<plain, 1>
<Misses, 1>
<Davis, 1>
<from, 1>
<the, 1>
<bottom, 1>
<of, 1>
<her, 1>
<heart, 1>
<Here, 1>
<are, 1>
<your, 1>
<flowers, 1>
<I, 1>
<arranged, 1>
<them, 1>
<myself, 1>
<remembering, 1>
<that, 1>
<you, 1>
<didn, 1>
<t, 1>
<like, 1>
<what, 1>
<Hannah, 1>
<calls, 1>
<a, 1>
<sot, 1>
<bookay, 1>
<said, 1>
<Laurie, 1>
<handing, 1>
<her, 1>
<a, 1>
<delicate, 1>
<nosegay, 1>
<in, 1>
<a, 1>
<holder, 1>
<that, 1>
<she, 1>
<had, 1>
<long, 1>
<coveted, 1>
<as, 1>
<she, 1>
<daily, 1>
<passed, 1>
<it, 1>
<in, 1>
<Cardiglia, 1>
<s, 1>
<window, 1>
<How, 1>
<kind, 1>
<you, 1>
<are, 1>
<she, 1>
<exclaimed, 1>
<gratefully, 1>
<If, 1>
<I, 1>
<d, 1>
<known, 1>
<you, 1>
<were, 1>
<coming, 1>
<I, 1>
<d, 1>
<have, 1>
<had, 1>
<something, 1>
<ready, 1>
<for, 1>
<you, 1>
<today, 1>
<though, 1>
<not, 1>
<as, 1>
<pretty, 1>
<as, 1>
<this, 1>
<I, 1>
<m, 1>
<afraid, 1>
<Thank, 1>
<you, 1>
<It, 1>
<isn, 1>
<t, 1>
<what, 1>
<it, 1>
<should, 1>
<be, 1>
<but, 1>
<you, 1>
<have, 1>
<improved, 1>
<it, 1>
<he, 1>
<added, 1>
<as, 1>
<she, 1>
<snapped, 1>
<the, 1>
<silver, 1>
<bracelet, 1>
<on, 1>
<her, 1>
<wrist, 1>
<Please, 1>
<don, 1>
<t, 1>
<I, 1>
<thought, 1>
<you, 1>
<liked, 1>
<that, 1>
<sort, 1>
<of, 1>
<thing, 1>
<Not, 1>
<from, 1>
<you, 1>
<it, 1>
<doesn, 1>
<t, 1>
<sound, 1>
<natural, 1>
<and, 1>
<I, 1>
<like, 1>
<your, 1>
<old, 1>
<bluntness, 1>
<better, 1>
<I, 1>
<m, 1>
<glad, 1>
<of, 1>
<it, 1>
<he, 1>
<answered, 1>
<with, 1>
<a, 1>
<look, 1>
<of, 1>
<relief, 1>
<then, 1>
<buttoned, 1>
<her, 1>
<gloves, 1>
<for, 1>
<her, 1>
<and, 1>
<asked, 1>
<if, 1>
<his, 1>
<tie, 1>
<was, 1>
<straight, 1>
<just, 1>
<as, 1>
<he, 1>
<used, 1>
<to, 1>
<do, 1>
<when, 1>
<they, 1>
<went, 1>
<to, 1>
<parties, 1>
<together, 1>
<at, 1>
<home, 1>
<The, 1>
<company, 1>
<assembled, 1>
<in, 1>
<the, 1>
<long, 1>
<salle, 1>
<a, 1>
<manger, 1>
<that, 1>
<evening, 1>
<was, 1>
<such, 1>
<as, 1>
<one, 1>
<sees, 1>
<nowhere, 1>
<but, 1>
<on, 1>
<the, 1>
<Continent, 1>
<The, 1>
<hospitable, 1>
<Americans, 1>
<had, 1>
<invited, 1>
<every, 1>
<acquaintance, 1>
<they, 1>
<had, 1>
<in, 1>
<Nice, 1>
<and, 1>
<having, 1>
<no, 1>
<prejudice, 1>
<against, 1>
<titles, 1>
<secured, 1>
<a, 1>
<few, 1>
<to, 1>
<add, 1>
<luster, 1>
<to, 1>
<their, 1>
<Christmas, 1>
<ball, 1>
<A, 1>
<Russian, 1>
<prince, 1>
<condescended, 1>
<to, 1>
<sit, 1>
<in, 1>
<a, 1>
<corner, 1>
<for, 1>
<an, 1>
<hour, 1>
<and, 1>
<talk, 1>
<with, 1>
<a, 1>
<massive, 1>
<lady, 1>
<dressed, 1>
<like, 1>
<Hamlet, 1>
<s, 1>
<mother, 1>
<in, 1>
<black, 1>
<velvet, 1>
<with, 1>
<a, 1>
<pearl, 1>
<bridle, 1>
<under, 1>
<her, 1>
<chin, 1>
<A, 1>
<Polish, 1>
<count, 1>
<aged, 1>
<eighteen, 1>
<devoted, 1>
<himself, 1>
<to, 1>
<the, 1>
<ladies, 1>
<who, 1>
<pronounced, 1>
<him, 1>
<a, 1>
<fascinating, 1>
<dear, 1>
<and, 1>
<a, 1>
<German, 1>
<Serene, 1>
<Something, 1>
<having, 1>
<come, 1>
<to, 1>
<supper, 1>
<alone, 1>
<roamed, 1>
<vaguely, 1>
<about, 1>
<seeking, 1>
<what, 1>
<he, 1>
<might, 1>
<devour, 1>
<Baron, 1>
<Rothschild, 1>
<s, 1>
<private, 1>
<secretary, 1>
<a, 1>
<large, 1>
<nosed, 1>
<Jew, 1>
<in, 1>
<tight, 1>
<boots, 1>
<affably, 1>
<beamed, 1>
<upon, 1>
<the, 1>
<world, 1>
<as, 1>
<if, 1>
<his, 1>
<master, 1>
<s, 1>
<name, 1>
<crowned, 1>
<him, 1>
<with, 1>
<a, 1>
<golden, 1>
<halo, 1>
<A, 1>
<stout, 1>
<Frenchman, 1>
<who, 1>
<knew, 1>
<the, 1>
<Emperor, 1>
<came, 1>
<to, 1>
<indulge, 1>
<his, 1>
<mania, 1>
<for, 1>
<dancing, 1>
<and, 1>
<Lady, 1>
<de, 1>
<Jones, 1>
<a, 1>
<British, 1>
<matron, 1>
<adorned, 1>
<the, 1>
<scene, 1>
<with, 1>
<her, 1>
<little, 1>
<family, 1>
<of, 1>
<eight, 1>
<Of, 1>
<course, 1>
<there, 1>
<were, 1>
<many, 1>
<light, 1>
<footed, 1>
<shrill, 1>
<voiced, 1>
<American, 1>
<girls, 1>
<handsome, 1>
<lifeless, 1>
<looking, 1>
<English, 1>
<ditto, 1>
<and, 1>
<a, 1>
<few, 1>
<plain, 1>
<but, 1>
<piquante, 1>
<French, 1>
<demoiselles, 1>
<likewise, 1>
<the, 1>
<usual, 1>
<set, 1>
<of, 1>
<traveling, 1>
<young, 1>
<gentlemen, 1>
<who, 1>
<disported, 1>
<themselves, 1>
<gaily, 1>
<while, 1>
<mammas, 1>
<of, 1>
<all, 1>
<nations, 1>
<lined, 1>
<the, 1>
<walls, 1>
<and, 1>
<smiled, 1>
<upon, 1>
<them, 1>
<benignly, 1>
<when, 1>
<they, 1>
<danced, 1>
<with, 1>
<their, 1>
<daughters, 1>
<Any, 1>
<young, 1>
<girl, 1>
<can, 1>
<imagine, 1>
<Amy, 1>
<s, 1>
<state, 1>
<of, 1>
<mind, 1>
<when, 1>
<she, 1>
<took, 1>
<the, 1>
<stage, 1>
<that, 1>
<night, 1>
<leaning, 1>
<on, 1>
<Laurie, 1>
<s, 1>
<arm, 1>
<She, 1>
<knew, 1>
<she, 1>
<looked, 1>
<well, 1>
<she, 1>
<loved, 1>
<to, 1>
<dance, 1>
<she, 1>
<felt, 1>
<that, 1>
<her, 1>
<foot, 1>
<was, 1>
<on, 1>
<her, 1>
<native, 1>
<heath, 1>
<in, 1>
<a, 1>
<ballroom, 1>
<and, 1>
<enjoyed, 1>
<the, 1>
<delightful, 1>
<sense, 1>
<of, 1>
<power, 1>
<which, 1>
<comes, 1>
<when, 1>
<young, 1>
<girls, 1>
<first, 1>
<discover, 1>
<the, 1>
<new, 1>
<and, 1>
<lovely, 1>
<kingdom, 1>
<they, 1>
<are, 1>
<born, 1>
<to, 1>
<rule, 1>
<by, 1>
<virtue, 1>
<of, 1>
<beauty, 1>
<youth, 1>
<and, 1>
<womanhood, 1>
<She, 1>
<did, 1>
<pity, 1>
<the, 1>
<Davis, 1>
<girls, 1>
<who, 1>
<were, 1>
<awkward, 1>
<plain, 1>
<and, 1>
<destitute, 1>
<of, 1>
<escort, 1>
<except, 1>
<a, 1>
<grim, 1>
<papa, 1>
<and, 1>
<three, 1>
<grimmer, 1>
<maiden, 1>
<aunts, 1>
<and, 1>
<she, 1>
<bowed, 1>
<to, 1>
<them, 1>
<in, 1>
<her, 1>
<friendliest, 1>
<manner, 1>
<as, 1>
<she, 1>
<passed, 1>
<which, 1>
<was, 1>
<good, 1>
<of, 1>
<her, 1>
<as, 1>
<it, 1>
<permitted, 1>
<them, 1>
<to, 1>
<see, 1>
<her, 1>
<dress, 1>
<and, 1>
<burn, 1>
<with, 1>
<curiosity, 1>
<to, 1>
<know, 1>
<who, 1>
<her, 1>
<distinguished, 1>
<looking, 1>
<friend, 1>
<might, 1>
<be, 1>
<With, 1>
<the, 1>
<first, 1>
<burst, 1>
<of, 1>
<the, 1>
<band, 1>
<Amy, 1>
<s, 1>
<color, 1>
<rose, 1>
<her, 1>
<eyes, 1>
<began, 1>
<to, 1>
<sparkle, 1>
<and, 1>
<her, 1>
<feet, 1>
<to, 1>
<tap, 1>
<the, 1>
<floor, 1>
<impatiently, 1>
<for, 1>
<she, 1>
<danced, 1>
<well, 1>
<and, 1>
<wanted, 1>
<Laurie, 1>
<to, 1>
<know, 1>
<it, 1>
<Therefore, 1>
<the, 1>
<shock, 1>
<she, 1>
<received, 1>
<can, 1>
<better, 1>
<be, 1>
<imagined, 1>
<than, 1>
<described, 1>
<when, 1>
<he, 1>
<said, 1>
<in, 1>
<a, 1>
<perfectly, 1>
<tranquil, 1>
<tone, 1>
<Do, 1>
<you, 1>
<care, 1>
<to, 1>
<dance, 1>
<One, 1>
<usually, 1>
<does, 1>
<at, 1>
<a, 1>
<ball, 1>
<Her, 1>
<amazed, 1>
<look, 1>
<and, 1>
<quick, 1>
<answer, 1>
<caused, 1>
<Laurie, 1>
<to, 1>
<repair, 1>
<his, 1>
<error, 1>
<as, 1>
<fast, 1>
<as, 1>
<possible, 1>
<I, 1>
<meant, 1>
<the, 1>
<first, 1>
<dance, 1>
<May, 1>
<I, 1>
<have, 1>
<the, 1>
<honor, 1>
<I, 1>
<can, 1>
<give, 1>
<you, 1>
<one, 1>
<if, 1>
<I, 1>
<put, 1>
<off, 1>
<the, 1>
<Count, 1>
<He, 1>
<dances, 1>
<divinely, 1>
<but, 1>
<he, 1>
<will, 1>
<excuse, 1>
<me, 1>
<as, 1>
<you, 1>
<are, 1>
<an, 1>
<old, 1>
<friend, 1>
<said, 1>
<Amy, 1>
<hoping, 1>
<that, 1>
<the, 1>
<name, 1>
<would, 1>
<have, 1>
<a, 1>
<good, 1>
<effect, 1>
<and, 1>
<show, 1>
<Laurie, 1>
<that, 1>
<she, 1>
<was, 1>
<not, 1>
<to, 1>
<be, 1>
<trifled, 1>
<with, 1>
<Nice, 1>
<little, 1>
<boy, 1>
<but, 1>
<rather, 1>
<a, 1>
<short, 1>
<Pole, 1>
<to, 1>
<support, 1>
<A, 1>
<daughter, 1>
<of, 1>
<the, 1>
<gods, 1>
<Devinely, 1>
<tall, 1>
<and, 1>
<most, 1>
<divinely, 1>
<fair, 1>
<was, 1>
<all, 1>
<the, 1>
<satisfaction, 1>
<she, 1>
<got, 1>
<however, 1>
<The, 1>
<set, 1>
<in, 1>
<which, 1>
<they, 1>
<found, 1>
<themselves, 1>
<was, 1>
<composed, 1>
<of, 1>
<English, 1>
<and, 1>
<Amy, 1>
<was, 1>
<compelled, 1>
<to, 1>
<walk, 1>
<decorously, 1>
<through, 1>
<a, 1>
<cotillion, 1>
<feeling, 1>
<all, 1>
<the, 1>
<while, 1>
<as, 1>
<if, 1>
<she, 1>
<could, 1>
<dance, 1>
<the, 1>
<tarantella, 1>
<with, 1>
<relish, 1>
<Laurie, 1>
<resigned, 1>
<her, 1>
<to, 1>
<the, 1>
<nice, 1>
<little, 1>
<boy, 1>
<and, 1>
<went, 1>
<to, 1>
<do, 1>
<his, 1>
<duty, 1>
<to, 1>
<Flo, 1>
<without, 1>
<securing, 1>
<Amy, 1>
<for, 1>
<the, 1>
<joys, 1>
<to, 1>
<come, 1>
<which, 1>
<reprehensible, 1>
<want, 1>
<of, 1>
<forethought, 1>
<was, 1>
<properly, 1>
<punished, 1>
<for, 1>
<she, 1>
<immediately, 1>
<engaged, 1>
<herself, 1>
<till, 1>
<supper, 1>
<meaning, 1>
<to, 1>
<relent, 1>
<if, 1>
<he, 1>
<then, 1>
<gave, 1>
<any, 1>
<signs, 1>
<penitence, 1>
<She, 1>
<showed, 1>
<him, 1>
<her, 1>
<ball, 1>
<book, 1>
<with, 1>
<demure, 1>
<satisfaction, 1>
<when, 1>
<he, 1>
<strolled, 1>
<instead, 1>
<of, 1>
<rushed, 1>
<up, 1>
<to, 1>
<claim, 1>
<her, 1>
<for, 1>
<the, 1>
<next, 1>
<a, 1>
<glorious, 1>
<polka, 1>
<redowa, 1>
<But, 1>
<his, 1>
<polite, 1>
<regrets, 1>
<didn, 1>
<t, 1>
<impose, 1>
<upon, 1>
<her, 1>
<and, 1>
<when, 1>
<she, 1>
<galloped, 1>
<away, 1>
<with, 1>
<the, 1>
<Count, 1>
<she, 1>
<saw, 1>
<Laurie, 1>
<sit, 1>
<down, 1>
<by, 1>
<her, 1>
<aunt, 1>
<with, 1>
<an, 1>
<actual, 1>
<expression, 1>
<of, 1>
<relief, 1>
<That, 1>
<was, 1>
<unpardonable, 1>
<and, 1>
<Amy, 1>
<took, 1>
<no, 1>
<more, 1>
<notice, 1>
<of, 1>
<him, 1>
<for, 1>
<a, 1>
<long, 1>
<while, 1>
<except, 1>
<a, 1>
<word, 1>
<now, 1>
<and, 1>
<then, 1>
<when, 1>
<she, 1>
<came, 1>
<to, 1>
<her, 1>
<chaperon, 1>
<between, 1>
<the, 1>
<dances, 1>
<for, 1>
<a, 1>
<necessary, 1>
<pin, 1>
<or, 1>
<a, 1>
<moment, 1>
<s, 1>
<rest, 1>
<Her, 1>
<anger, 1>
<had, 1>
<a, 1>
<good, 1>
<effect, 1>
<however, 1>
<for, 1>
<she, 1>
<hid, 1>
<it, 1>
<under, 1>
<a, 1>
<smiling, 1>
<face, 1>
<and, 1>
<seemed, 1>
<unusually, 1>
<blithe, 1>
<and, 1>
<brilliant, 1>
<Laurie, 1>
<s, 1>
<eyes, 1>
<followed, 1>
<her, 1>
<with, 1>
<pleasure, 1>
<for, 1>
<she, 1>
<neither, 1>
<romped, 1>
<nor, 1>
<sauntered, 1>
<but, 1>
<danced, 1>
<with, 1>
<spirit, 1>
<and, 1>
<grace, 1>
<making, 1>
<the, 1>
<delightsome, 1>
<pastime, 1>
<what, 1>
<it, 1>
<should, 1>
<be, 1>
<He, 1>
<very, 1>
<naturally, 1>
<fell, 1>
<to, 1>
<studying, 1>
<her, 1>
<from, 1>
<this, 1>
<new, 1>
<point, 1>
<of, 1>
<view, 1>
<and, 1>
<before, 1>
<the, 1>
<evening, 1>
<was, 1>
<half, 1>
<over, 1>
<had, 1>
<decided, 1>
<that, 1>
<little, 1>
<Amy, 1>
<was, 1>
<going, 1>
<to, 1>
<make, 1>
<a, 1>
<very, 1>
<charming, 1>
<woman, 1>
<It, 1>
<was, 1>
<a, 1>
<lively, 1>
<scene, 1>
<for, 1>
<soon, 1>
<the, 1>
<spirit, 1>
<of, 1>
<the, 1>
<social, 1>
<season, 1>
<took, 1>
<possession, 1>
<of, 1>
<everyone, 1>
<and, 1>
<Christmas, 1>
<merriment, 1>
<made, 1>
<all, 1>
<faces, 1>
<shine, 1>
<hearts, 1>
<happy, 1>
<and, 1>
<heels, 1>
<light, 1>
<The, 1>
<musicians, 1>
<fiddled, 1>
<tooted, 1>
<and, 1>
<banged, 1>
<as, 1>
<if, 1>
<they, 1>
<enjoyed, 1>
<it, 1>
<everybody, 1>
<danced, 1>
<who, 1>
<could, 1>
<and, 1>
<those, 1>
<who, 1>
<couldn, 1>
<t, 1>
<admired, 1>
<their, 1>
<neighbors, 1>
<with, 1>
<uncommon, 1>
<warmth, 1>
<The, 1>
<air, 1>
<was, 1>
<dark, 1>
<with, 1>
<Davises, 1>
<and, 1>
<many, 1>
<Joneses, 1>
<gamboled, 1>
<like, 1>
<a, 1>
<flock, 1>
<of, 1>
<young, 1>
<giraffes, 1>
<The, 1>
<golden, 1>
<secretary, 1>
<darted, 1>
<through, 1>
<the, 1>
<room, 1>
<like, 1>
<a, 1>
<meteor, 1>
<with, 1>
<a, 1>
<dashing, 1>
<French, 1>
<woman, 1>
<who, 1>
<carpeted, 1>
<the, 1>
<floor, 1>
<with, 1>
<her, 1>
<pink, 1>
<satin, 1>
<train, 1>
<The, 1>
<serene, 1>
<Teuton, 1>
<found, 1>
<the, 1>
<supper, 1>
<table, 1>
<and, 1>
<was, 1>
<happy, 1>
<eating, 1>
<steadily, 1>
<through, 1>
<the, 1>
<bill, 1>
<of, 1>
<fare, 1>
<and, 1>
<dismayed, 1>
<the, 1>
<garcons, 1>
<by, 1>
<the, 1>
<ravages, 1>
<he, 1>
<committed, 1>
<But, 1>
<the, 1>
<Emperor, 1>
<s, 1>
<friend, 1>
<covered, 1>
<himself, 1>
<with, 1>
<glory, 1>
<for, 1>
<he, 1>
<danced, 1>
<everything, 1>
<whether, 1>
<he, 1>
<knew, 1>
<it, 1>
<or, 1>
<not, 1>
<and, 1>
<introduced, 1>
<impromptu, 1>
<pirouettes, 1>
<when, 1>
<the, 1>
<figures, 1>
<bewildered, 1>
<him, 1>
<The, 1>
<boyish, 1>
<abandon, 1>
<of, 1>
<that, 1>
<stout, 1>
<man, 1>
<was, 1>
<charming, 1>
<to, 1>
<behold, 1>
<for, 1>
<though, 1>
<he, 1>
<carried, 1>
<weight, 1>
<he, 1>
<danced, 1>
<like, 1>
<an, 1>
<India, 1>
<rubber, 1>
<ball, 1>
<He, 1>
<ran, 1>
<he, 1>
<flew, 1>
<he, 1>
<pranced, 1>
<his, 1>
<face, 1>
<glowed, 1>
<his, 1>
<bald, 1>
<head, 1>
<shown, 1>
<his, 1>
<coattails, 1>
<waved, 1>
<wildly, 1>
<his, 1>
<pumps, 1>
<actually, 1>
<twinkled, 1>
<in, 1>
<the, 1>
<air, 1>
<and, 1>
<when, 1>
<the, 1>
<music, 1>
<stopped, 1>
<he, 1>
<wiped, 1>
<the, 1>
<drops, 1>
<from, 1>
<his, 1>
<brow, 1>
<and, 1>
<beamed, 1>
<upon, 1>
<his, 1>
<fellow, 1>
<men, 1>
<like, 1>
<a, 1>
<French, 1>
<Pickwick, 1>
<without, 1>
<glasses, 1>
<Amy, 1>
<and, 1>
<her, 1>
<Pole, 1>
<distinguished, 1>
<themselves, 1>
<by, 1>
<equal, 1>
<enthusiasm, 1>
<but, 1>
<more, 1>
<graceful, 1>
<agility, 1>
<and, 1>
<Laurie, 1>
<found, 1>
<himself, 1>
<involuntarily, 1>
<keeping, 1>
<time, 1>
<to, 1>
<the, 1>
<rhythmic, 1>
<rise, 1>
<and, 1>
<fall, 1>
<of, 1>
<the, 1>
<white, 1>
<slippers, 1>
<as, 1>
<they, 1>
<flew, 1>
<by, 1>
<as, 1>
<indefatigably, 1>
<as, 1>
<if, 1>
<winged, 1>
<When, 1>
<little, 1>
<Vladimir, 1>
<finally, 1>
<relinquished, 1>
<her, 1>
<with, 1>
<assurances, 1>
<that, 1>
<he, 1>
<was, 1>
<desolated, 1>
<to, 1>
<leave, 1>
<so, 1>
<early, 1>
<she, 1>
<was, 1>
<ready, 1>
<to, 1>
<rest, 1>
<and, 1>
<see, 1>
<how, 1>
<her, 1>
<recreant, 1>
<knight, 1>
<had, 1>
<borne, 1>
<his, 1>
<punishment, 1>
<It, 1>
<had, 1>
<been, 1>
<successful, 1>
<for, 1>
<at, 1>
<three, 1>
<and, 1>
<twenty, 1>
<blighted, 1>
<affections, 1>
<find, 1>
<a, 1>
<balm, 1>
<in, 1>
<friendly, 1>
<society, 1>
<and, 1>
<young, 1>
<nerves, 1>
<will, 1>
<thrill, 1>
<young, 1>
<blood, 1>
<dance, 1>
<and, 1>
<healthy, 1>
<young, 1>
<spirits, 1>
<rise, 1>
<when, 1>
<subjected, 1>
<to, 1>
